International Standard Book Number																		
	0378-3774	Schneider, Pia	Potential and versatility of WEAP software (Water Evaluation and Planning System) for impact assessments of Alternate Wetting and Drying in irrigated rice	Elsevier BV	Agricultural Water Management	2019	(e-first copy): 13 pages	The production of irrigated rice is increasingly challenged by freshwater scarcity. Water saving technologies such as Alternate Wetting and Drying (AWD) allow sustaining production levels under reduced water availability. Before implementing such innovations on a large scale, their hydrological impact on the system needs to be assessed.  This study investigated the applicability of the water management tool WEAP (Water Evaluation and Planning System) for evaluating the effects of AWD on water use and water resources at field and irrigation system level for two different case studies in Central Luzon, the Philippines.  In the first study, the Zeigler Experiment Station (ZES) of the International Rice Research Institute (IRRI) was used for parameterization of WEAP and field-scale assessment of AWD, making use of the availability of spatially and temporally highly resolved data. In the second study, WEAP was applied to an irrigation scheme in the Philippines, the Angat-Maasim River Irrigation System (AMRIS) to assess effects on up- and downstream water resources using lower resolution data.  Simulated AWD implementation during the dry season reduced water requirements by 12–27% and 34.3% on ZES and AMRIS, respectively. Additionally, AWD implementation enhanced streamflow in main and lateral canals, and thus increased water availability in the entire irrigation system. We also conducted an ex-ante assessment of future freshwater availability assuming reduced precipitation due to climate change effects alongside with irrigation supply at current levels. WEAP showed that water levels in the reservoir will substantially decline under these circumstances leading to severe water stress in AMRIS. Implementing AWD in such a scenario improved water availability in the system by up to 50%. WEAP proved to be a suitable tool for upscaling different irrigation techniques and assessing their impact on water resources on a large scale. Limitations of the approach and future possibilities for improvements are discussed.	English	Available in electronic format (PDF)	Agronomy and Crop Science;Earth-Surface Processes;Soil Science;Water Science and Technology	Crossref;Crossref;Crossref;Crossref;Crossref	Asch, Folkard;Sander, Bjoern Ole;Wassmann, Reiner	https://doi.org/10.1016/j.agwat.2019.03.030	https://drive.google.com/file/d/0ByGk26Nk_MlAQVp3U1hyTHdjVkVvS0NZRkJaUjA5OVRzMzlj/view	View the full text	lcc	JA
	1758-678X	Hellin, Jon	The Achilles heel of climate-smart agriculture	Springer Science and Business Media LLC	Nature Climate Change	2019	Volume 9 no. 7 p. 493-494	Climate-smart food systems are needed to feed growing populations while reducing greenhouse gas emissions and conserving natural resources. However, to be successful, climate-smart agriculture interventions must be equitable and inclusive to overcome trade-offs with other Sustainable Development Goals.	English	Available in electronic format (PDF)	Environmental Science (miscellaneous);Social Sciences (miscellaneous)	Crossref;Crossref;Crossref	Fisher, Eleanor	https://doi.org/10.1038/s41558-019-0515-8	https://drive.google.com/file/d/1hMawru50tvZgfKxPBbdvrNHTb-iRQJEL/view	View the full text	lcc	JA
	0168-9452	Lenaerts, Bert	Review: Improving global food security through accelerated plant breeding	Elsevier BV	Plant Science	2019	(e-first copy); 110207 (36 pages).	With an expected 9 billion people by 2050 and average income on the rise in the developing world, meeting future food demand will be a challenge. Climate change, urbanisation and land degradation are putting further pressure on the food supply. The multifaceted and self-reinforcing nature of these challenges calls for a fundamental transformation of the food system. In the past, crop improvement through breeding has been the major tool to lift people out of poverty and increase global food supply. To adequately address these food security challenges, new improved crop varieties need to be developed and reach farmers sooner as a partial solution. In this review, we focus on various proven conventional and biotechnological accelerating plant breeding methods that do not require genetic engineering or gene editing. We pay specific attention to the feasibility for implementation by national agricultural research systems in developing countries in the short term. We argue that postponing technologies that can accelerate breeding makes no economic sense and warrant immediate adoption of accelerated breeding practices in the public sector. Considering a wide range of factors including the economics of accelerated breeding, we advocate the use of a method called rapid generation advance (RGA) as the most feasible method for accelerating breeding in the public sector.	English	Available in electronic format (PDF)	Agronomy and Crop Science;General Medicine;Genetics;Plant Science	Crossref;Crossref;Crossref;Crossref;Crossref	Collard, Bertrand C.Y.;Demont, Matty	https://doi.org/10.1016/j.plantsci.2019.110207	https://drive.google.com/a/irri.org/file/d/1RcnDaf0T8JdZMCgx8Q1QrQzvfTgi_zKc/view?usp=drive_open	View the full text	lcc	JA
	2452-2929	Corales, Aurora M.	Dissemination pathways for drought-tolerant rice cultivars: A farmer-participatory evaluation in the Philippines	Elsevier BV	World Development Perspectives	2019	volume 15, no. 100131; 6 pages	The sustainability of agroecosystems in Asia is threatened by the impacts of climate change and decreasing rural population. This study sought to identify promising approaches to technology dissemination for smallholder farmers in unfavorable rice environments. We compared farmer-participatory methods for the dissemination of new stress-tolerant rice cultivars in drought-prone areas in the Philippines from 2016 to 2018. The study, involving 10,176 farmers, compared on-farm demonstration-cum-participatory varietal selection, farmer field schools, farmer-to-farmer extension through local farmer technicians, seed systems enhancement, and seed caravans. Responses were recorded from 386 farmers in a random sample to determine which approach best reflected their opinion on dissemination pathways. Socio-demographic characteristics influencing the farmers’ preferences for dissemination pathways were also assessed. Overall, technology demonstration was the preferred pathway, followed by farmer field schools and the farmer-to-farmer extension. Women favored farmer-to-farmer extension more than men did. Membership of a farmer association enhanced preference for farmer-to-farmer extension and seed caravans. These results can be used to guide the choice of appropriate pathways for the dissemination of new rice cultivars depending on the socio-demographic characteristics of the target farming communities.	English	Available in electronic format (PDF)		Crossref	Banayo, Niño M.C.;Bueno, Crisanta S.;Johnson, David E.;Kato, Yoichiro;Santos, Royette C.	https://doi.org/10.1016/j.wdp.2019.100131	https://drive.google.com/file/d/0ByGk26Nk_MlAV25mdmJTRWY0RjRpaXNqZFoteEFEY1ozY3dV/view	view the full text	lcc	JA
	1660-4601	Mabhaudhi, Tafadzwanashe	The water–energy–food nexus as a tool to transform rural livelihoods and well-being in southern Africa	MDPI AG	International Journal of Environmental Research and Public Health	2019	Volume 16 no. 16 p. 2970	About 60% of southern Africa’s population lives in rural areas with limited access to basic services and amenities such as clean and safe water, affordable and clean energy, and balanced and nutritious diets. Resource scarcity has direct and indirect impacts on nutrition, human health, and well-being of mostly poor rural communities. Climate change impacts in the region are manifesting through low crop yields, upsurge of vector borne diseases (malaria and dengue fever), and water and food-borne diseases (cholera and diarrhoea). This study applied a water–energy–food (WEF) nexus analytical livelihoods model with complex systems understanding to assess rural livelihoods, health, and well-being in southern Africa, recommending tailor-made adaptation strategies for the region aimed at building resilient rural communities. The WEF nexus is a decision support tool that improves rural livelihoods through integrated resource distribution, planning, and management, and ensures inclusive socio-economic transformation and development, and addresses related sustainable development goals, particularly goals 2, 3, 6 and 7. The integrated WEF nexus index for the region was calculated at 0.145, which is marginally sustainable, and indicating the region’s exposure to vulnerabilities, and reveals a major reason why the region fails to meet its developmental targets. The integrated relationship among WEF resources in southern Africa shows an imbalance and uneven resource allocation, utilisation and distribution, which normally results from a ‘siloed’ approach in resource management. The WEF nexus provides better adaptation options, as it guides decision making processes by identifying priority areas needing intervention, enhancing synergies, and minimising trade-offs necessary for resilient rural communities. Our results identified (i) the trade-offs and unintended negative consequences for poor rural households’ livelihoods of current silo approaches, (ii) mechanisms for sustainably enhancing household water, energy and food security, whilst (iii) providing direction for achieving SDGs 2, 3, 6 and 7	English	Available in electronic format (PDF)		Crossref	Chivenge, Pauline Paidamoyo;Liphadzi, Stanley;Modi, Albert Thembinkosi;Mpandeli, Sylvester;Naidoo, Dhesigen;Nhamo, Luxon;Nhemachena, Charles;Senzanje, Aidan;Slotow, Rob;Sobratee, Nafisa	https://doi.org/10.3390/ijerph16162970	https://drive.google.com/file/d/17ABBEO30J4IseBS2k2YzrAo9FCmT0wgk/view	View the full text	lcc	JA
	0378-4290	Radanielson, A. M.	Targeting management practices for rice yield gains in stress-prone environments of Myanmar	Elsevier BV	Field Crops Research	2019	volume 244, no. 107631; 12 pages	Rice in Myanmar is grown in diverse environments, including inland dry zone and salt-affected coastal deltas. This study evaluated management options that could improve productivity and reduce risks of rice crop in stress-prone areas of the country. We selected four sites from two regions in the central dry zone (Wundwin) and the Ayeyarwady delta (Labutta, Bogale and Mawlamyinegyun). We used experimental and survey datasets on farmers’ practices and rice yields from 2012 to 2014 to run the ORYZA model to simulate the climatic yield potential (YP; yield without stress) and the attainable yield under rainfed conditions (YW; yield limited by water), saline conditions (YS; yield limited by salinity), and under conditions of current farmers’ practices (YF; yield in farmers’ practices). Simulated yield responses to different management practices showed spatial variability within and among the selected sites. YP ranged from 5.4 to 11.1 t ha−1, YW ranged from 0.5 to 7.5 t ha−1, and YF ranged from 2.2 to 4.2 t ha−1. In salt-affected areas, average YS ranged from less than 0.1 t ha-1 to 5.6 t ha−1. Yield gains with the choice of an improved variety and adjusted sowing date were estimated at up to 53% above YF. Changing the time of sowing and using improved rice varieties provided the greatest yield gains in salt-affected and drought-prone areas where YF was the least. In areas where YF was greater, the improvement of nitrogen management provided larger benefits than in areas with lower YF. We conclude that an integrated approach using remote-sensing technologies, crop modeling, and a geographic information system is valuable for targeting the best management options to close the yield gap in unfavorable rice environments in Asia.	English	Available in electronic format (PDF)	Agronomy and Crop Science;Soil Science	Crossref;Crossref;Crossref	Aunario, Jorrel K.;Balanza, Jane G.;Feyisa, Gudina;Garcia, Cornelia;Johnson, David E.;Kato, Yoichiro;Malabayabas, Arelene Julia;Myint, Daw Tin Tin;Palao, Leo Kris;Singh, Rakesh K.;Win, Khin Thawda;Zamora, Chenie	https://doi.org/10.1016/j.fcr.2019.107631	https://drive.google.com/file/d/1XsiNPHRhHorxMVABPWpW_JwHPZjIVMi5/view	View the full text	lcc	JA
	1932-6203	Tan Yen, Bui	Modeling ENSO impact on rice production in the Mekong River Delta	Public Library of Science (PLoS)	PLoS ONE	2019	volume 14, no. 10; e0223884 (19 p.).	The Mekong River Delta is the rice production hub in South-east Asia and has a key role in determining rice prices in the world market. The increasing variability in the local climate due to global climate changes and the increasing severity of the ENSO phenomenon threatens rice production in the region, which has consequences for local and global food security. Though existing mapping efforts delineate the consequences of saline water intrusion during El Niño and flooding events during La Niña in the basin, research to predict future impacts in rice production is rather limited. The current work uses ORYZA, an ecophysiological model, combined with historical climate data, climate change scenarios RCP4.5 and 8.5 and climate-related risk maps to project the aggregate productivity and rice production impacts by the year 2050. Results show that in years of average salinity intrusion and flooding, the winter-spring rice crop in the MRD would experience an average annual decrease of 720,450 tons for 2020–2050 under the RCP4.5 scenario compared to the baseline of 2005–2016 average and another 1.17 million tons under the RCP8.5 scenario. The autumn-winter crop would decrease by 331,480 tons under RCP4.5 and 462,720 tons under RCP8.5. In years of severe salinity intrusion and flooding, the winter-spring rice crop would decrease by 2.13 million tons (10.29% lower than the projection for an average year) under RCP4.5 and 2.5 million tons (13.62%) under RCP8.5. Under severe conditions, the autumn-winter crop would have an average decrease of 1.3 million tons (7.36%) under RCP4.5 and 1.4 million tons (10.88%) for the RCP8.5 scenario. Given that most of the rice produced in this area is exported, a decline in rice supply at this scale would likely have implications on the global market price of rice affecting global food security. Such decline will also have implications for the rural economy and food security of Vietnam. Suggestions for corrective measures to reduce the impacts are briefly discussed.	English	Available in electronic format (PDF)	General Agricultural and Biological Sciences;General Biochemistry, Genetics and Molecular Biology;General Medicine	Crossref;Crossref;Crossref;Crossref	Amjath-Babu, T. S.;Duong, Trinh Hoang;Quyen, Nguyen Huu;Sebastian, Leocadio;Van Kham, Duong	https://doi.org/10.1371/journal.pone.0223884	https://drive.google.com/file/d/1nc73uuAhiY8s-lfXG7xOhNmnTSltfg9K/view	View the full text	lcc	JA
	1836-0947	Satapathy, Sushree Sagarika	Nutrients management and planting time adaptation to climate change for wet season rice production in subtropical India	CSIRO Publishing	Crop and Pasture Science	2019	Volume 70 no. 10, pages 858-867.	The projected adverse impact of climate change on food grain production of tropical and subtropical latitudes necessitates the development of suitable agro-adaptations. We used open top chamber (OTC) experimental facility and simulation analysis to study the effect of elevated [CO2] with varying nutrients management on rice grain yield and to evaluate planting time adjustment as adaptation to climate change. The OTC experiments with ambient [CO2] level ([CO2] ~390 ppm) and elevated [CO2] (25% higher than the ambient) using cultivar ‘Swarna sub1 (140–145 days)’ were conducted during wet season of the years 2011 and 2012 at West Medinipur, India. Using CERES model, we simulated rice grain yield for future climate scenario (A1B) during the years 2020 (2010–2039) and 2080 (2071–2099) at four selected locations of the subtropical India. The elevated [CO2] in OTC increased panicle number, but decreased filled grain number per panicle, 1000-grain weight and grain yield. The increasing [CO2] had smaller adverse impact for integrated nutrients management as compared with chemical fertiliser. The model simulated grain yield reduction of 6.1−13.0% during 2020 and 14.4 −25.0% during 2080 with rising temperature 1.6 and 4.6°C, respectively, compared with the base period (1961–1990). Early planting during 25 June to 25 July received closure favourable temperature and rainfall during the crop growing period, hence had better adaptation to the climate change. Increasing dose of integrated nutrients and early planting is expected to minimise the adverse impact of climate change on rice production of the subtropical India.	English	Available in electronic format (PDF)	Agronomy and Crop Science;Plant Science	Crossref;Crossref;Crossref	Herath, Srikantha;Pasupalak, Surendranath;Swain, Dillip Kumar	https://doi.org/10.1071/cp19164	https://drive.google.com/file/d/1b73EDGK2pzVAICO5KHSg7K8QvOjeBDNf/view	View the full text	lcc	JA
	2077-0472	Sembiring, Hasil	Yield gap management under seawater intrusion areas of Indonesia to improve rice productivity and resilience to climate change	MDPI AG	Agriculture	2019	Volume 10 no. 1; 10 pages.	The purpose of this study was to evaluate (a) the performance of two modern rice varieties (non-tolerant and tolerant for saline soils) under different fertilizer management options, and (b) assess the yield gap and income increase through proper crop and nutrient management at different levels of soil salinity. Experiments were carried out in moderate and high levels of soil salinity in West Java, Indonesia. A split plot design with three replications was used. The main plots included two rice varieties, Inpari-30 Ciherang sub1 and Inpari-34 (tolerant variety for saline soils), and subplots included eight fertilizer management treatments. Farmer participatory field trials were also established across three levels of soil salinity with four different rice varieties, Sidenuk, Inpari 30, Inpari 34, and Inpari 35, and a fertilizer package consisting of organic and inorganic fertilizers. Under low and moderate soil salinities, Sidenuk and Inpari 30 with recommended practice had higher productivity and economic benefit compared to the saline tolerant rice varieties, Inpari 34 and Inpari 35. However, under high soil salinity, the yields of Inpari 34 and Inpari 35 with recommended practice were 93% higher than farmers’ practice, representing an exploitable yield gap of 1.3 t ha−1 and benefit above fertilizer cost of USD 301 ha−1. The combination of tolerant varieties and improved nutrient management use for rice production can therefore be used as a strategy for improving farmers’ income and livelihoods in coastal areas of Indonesia.	English	Available in electronic format (PDF)		Crossref	A. Subekti, Nuning;Erythrina;Nugraha, Dedi;Priatmojo, Bhakti;Stuart, Alexander M.	https://doi.org/10.3390/agriculture10010001	https://drive.google.com/file/d/1XB63BmbCrsl4SqJP0C1IrkvHkCVBEzts/view	View the full text	lcc	JA
	1756-8692	Tran, Nhat Lam Duyen	Determinants of adoption of climate-smart agriculture technologies in rice production in Vietnam	Emerald	International Journal of Climate Change Strategies and Management (IJCCSM)	2019	(e-first copy); 19 pages.	"Purpose: In recent years, climate-smart agriculture (CSA) was introduced to Vietnam to enhance farmers’ resilience and adaptation to climate change. Among the climate-smart agricultural technologies (CSATs) introduced were water-saving techniques and improved stress tolerant varieties. This study aims to examine the determinants of farmers’ adoption of these technologies and the effects of their adoption on net rice income (NRI) in three provinces as follows: Thai Binh (North), Ha Tinh (Central) and Bac Lieu (South). Design/methodology/approach:  Determinants of adoption of CSATs and the adoption effects on NRI are analyzed by using a multinomial endogenous switching regression framework. Findings: The results showed that gender, age, number of family workers, climate-related factors, farm characteristics, distance to markets, access to climate information, confidence on the know-how of extension workers, membership in social/agricultural groups and attitude toward risk were the major factors affecting the decision to adopt CSATs. However, the effects of these factors on the adoption of CSATs varied across three provinces. These technologies when adopted tend to increase NRI but the increase is much greater when these are combined.   <jats:title content-type=""abstract-subheading"">Practical implications It is important to consider first the appropriateness of the CSA packages to the specific conditions of the target areas before they are promoted. It is also necessary to enhance the technical capacity of local extension workers and provide farmers more training on CSATs. Originality/value: This study is the first attempt to identify key determinants of adoption of CSATs either singly or in combination and the adoption effects on NRI in Vietnam"	English	Available in electronic format (PDF)	Development;Geography, Planning and Development;Global and Planetary Change;Management, Monitoring, Policy and Law	Crossref;Crossref;Crossref;Crossref;Crossref	Nguyen, Dinh Tien;Nong, Nguyen Khanh Ngoc;Ole Sander, Bjoern;Rañola,, Roberto F.;Reiner, Wassmann	https://doi.org/10.1108/ijccsm-01-2019-0003	https://drive.google.com/file/d/1xdoFduywwS6zJeSysbv3UJJcM-98JQY-/view	View the full text	lcc	JA
