Title,Subtitle,Author,Developing Country Author,ORCID,Publication Year,Series Name,Series Number,Publisher,Language,Record Type,Abstract,Source Publication,ISSN,DOI/WEB/URL,DOI Number,Full citation,Peer Reviewed - PR or Non-PR,Subject - keywords,Subject - author supplied keywords,Subject - country location,JEL Descriptors,IFPRI Descriptors,IFPRI Division,Access Rights,Creative Commons CC License,Creative Commons Dataentry,Related Documents,Associated data,Display Notes,Web link,PDF URL - outside IFPRI,IFPRI Publication Ranking,Research Initiatives,CGIAR Research Program,Reference URL
A decentralized approach to model national and global food and land use systems,,"Mosnier, Aline; Javalera-Rincon, Valeria; Jones, Sarah K.; Andrew, Robbie; Bai, Zhaohai; Baker, Justin; Basnet, Shyam; Singh, Vartika","Zhaohai Bai, Rizaldi Boer, John Chavarro, Wanderson Costa; Andrew Chiah Howe Fan; Federico Frank, A H F Habiburrachman","http://orcid.org/0000-0002-5618-0069 Singh, Vartika",2023,Environmental Research Letters,18,IOP Publishing Ltd.,English,Journal article,"The achievement of several sustainable development goals and the Paris Climate Agreement depends on rapid progress towards sustainable food and land systems in all countries. We have built a flexible, collaborative modeling framework to foster the development of national pathways by local research teams and their integration up to global scale. Local researchers independently customize national models to explore mid-century pathways of the food and land use system transformation in collaboration with stakeholders. An online platform connects the national models, iteratively balances global exports and imports, and aggregates results to the global level. Our results show that actions toward greater sustainability in countries could sum up to 1 Mha net forest gain per year, 950 Mha net gain in the land where natural processes predominate, and an increased CO2 sink of 3.7 GtCO2e yr−1 over the period 2020–2050 compared to current trends, while average food consumption per capita remains above the adequate food requirements in all countries. We show examples of how the global linkage impacts national results and how different assumptions in national pathways impact global results. This modeling setup acknowledges the broad heterogeneity of socio-ecological contexts and the fact that people who live in these different contexts should be empowered to design the future they want. But it also demonstrates to local decision-makers the interconnectedness of our food and land use system and the urgent need for more collaboration to converge local and global priorities.",Environmental Research Letters 18(4): 045001,1748-9326,https://doi.org/10.1088/1748-9326/acc044,10.1088/1748-9326/acc044,"Mosnier, Aline; Javalera-Rincon, Valeria; Jones, Sarah K.; Andrew, Robbie; Bai, Zhaohai; Baker, Justin; Basnet, Shyam; Singh, Vartika; et al. 2023. A decentralized approach to model national and global food and land use systems. Environmental Research Letters 18(4): 045001. https://doi.org/10.1088/1748-9326/acc044",PR,agriculture; climate change; sustainable agriculture; food systems; global warming; greenhouse gases; land; research methods; socioeconomic development; stakeholders; Sustainable Development Goals,,WORLD,,IFPRI3; Capacity Strengthening; 1 Fostering Climate-Resilient and Sustainable Food Supply; 2 Promoting Healthy Diets and Nutrition for all; DCA; ISI,Natural Resources and Resilience (NRR); Transformation Strategies,Open Access,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,,,,,,A,NEXUS Gains,,http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/8644
A dynamic general equilibrium analysis of adaptation to climate change in Ethiopia,,"Robinson, Sherman; Willenbockel, Dirk; Strzepek, Kenneth",,"http://orcid.org/0000-0002-5478-9372 Robinson, Sherman;",2012,Review of Development Economics,,,English,Journal article,,Review of Development Economics 16(3): 489-502,,http://dx.doi.org/10.1111/j.1467-9361.2012.00676.x,10.1111/j.1467-9361.2012.00676.x,,PR,Climate change; Developing countries; Economic development; general equilibrium; General equilibrium model,,ETHIOPIA; EAST AFRICA; AFRICA SOUTH OF SAHARA; AFRICA,,IFPRI3; ISI; CRP2,EPTD; PIM,Restricted,,,,,"1. Special Issue: Climate Change and Economic Development, ed. Channing Arndt, Paul Chinowsky, Ken Strzepek, Finn Tarp, and James Thurlow  2. According to Frank Place, Senior Research Fellow of CGIAR Research Program on Policies, Institutions, and Markets (PIM), this research was part of the PIM research portfolio",,,B,,"CGIAR Research Program on Policies, Institutions, and Markets (PIM)",http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/3652
A European science plan to sustainably increase food security under climate change,,"Soussana, Jean-François; Fereres, Elias; Long, Stephen P.; Mohren, Frits G.M.J.; Pandya-Lorch, Rajul; Peltonen-Sainio, Pirjo; Porter, John R.; Rosswall, Thomas; von Braun, Joachim",,"http://orcid.org/0000-0003-3552-7382 Pandya-Lorch, Rajul;",2012,Global Change Biology,,,English,Journal article,,Global Change Biology 18(11): 3269-3271,,http://dx.doi.org/10.1111/j.1365-2486.2012.02746.x,10.1111/j.1365-2486.2012.02746.x,,PR,agriculture; food systems; food security; climate change; nutrition,,EUROPE,,IFPRI3; ISI,DGO,Restricted,,,,,,,,A*,,,http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/3747
A knowledge brokering framework for integrated landscape management,,"McGonigle, Daniel F.; Rota Nodari, Giulia; Phillips, Robyn L.; Aynekulu, Ermias; Estrada-Carmona, Natalia; Zhang, Wei",,"http://orcid.org/0000-0002-2933-6275 Zhang, Wei",2020,Frontiers in Sustainable Food Systems,4,,English,Journal article,"Sustainable land management is at the heart of some of the most intractable challenges facing humanity in the 21st century. It is critical for tackling biodiversity loss, land degradation, climate change and the decline of ecosystem services. It underpins food production, livelihoods, dietary health, social equity, climate change adaptation, and many other outcomes. However, interdependencies, trade-offs, time lags, and non-linear responses make it difficult to predict the combined effects of land management decisions. Policy decisions also have to be made in the context of conflicting interests, values and power dynamics of those living on the land and those affected by the consequences of land use decisions. This makes designing and coordinating effective land management policies and programmes highly challenging. The difficulty is exacerbated by the scarcity of reliable data on the impacts of land management on the environment and livelihoods. This poses a challenge for policymakers and practitioners in governments, development banks, non-governmental organisations, and other institutions. It also sets demands for researchers, who are under ever increasing pressure from funders to demonstrate uptake and impact of their work. Relatively few research methods exist that can address such questions in a holistic way. Decision makers and researchers need to work together to help untangle, contextualise and interpret fragmented evidence through systems approaches to make decisions in spite of uncertainty. Individuals and institutions acting as knowledge brokers can support these interactions by facilitating the co-creation and use of scientific and other knowledge. Given the patchy nature of data and evidence, particularly in developing countries, it is important to draw on the full range of available models, tools and evidence. In this paper we review the use of evidence to inform multiple-objective integrated landscape management policies and programmes, focusing on how to simultaneously achieve different sustainable development objectives in diverse landscapes. We set out key success factors for evidence-based decision-making, which are summarised into 10 key principles for integrated landscape management knowledge brokering in integrated landscape management and 12 key skills for knowledge brokers. We finally propose a decision-support framework to organise evidence that can be used to tackle different types of land management policy decision.",Frontiers in Sustainable Food Systems 4:13,2571-581X ,https://doi.org/10.3389/fsufs.2020.00013,10.3389/fsufs.2020.00013,"McGonigle, Daniel F.; Rota Nodari, Giulia; Phillips, Robyn L.; Aynekulu, Ermias; Estrada-Carmona, Natalia; Zhang, Wei; et al. 2020. A knowledge brokering framework for integrated landscape management. Frontiers in Sustainable Food Systems 4:13. https://doi.org/10.3389/fsufs.2020.00013",PR,landscape conservation; water; decision making; knowledge; climate change; ecosystems; integrated land management; policies,Knowledge Brokering Framework; landscape-scale policy,,,IFPRI3; CRP5; 1 Fostering Climate-Resilient and Sustainable Food Supply,EPTD,Open Access,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,,,,,,Not ranked,,"CGIAR Research Program on Water, Land and Ecosystems (WLE)",http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/7123
A long-term perspective on a modern drought in the American Southeast,,"Pederson, Niel; Bell, Andrew; Knight, T.A.; Leland, C.; Malcomb, N.; Achukaitis, K.J.; Tackett, K.; Scheff, J.; Brice, A.; Catron, B.; Blozan, W.; Riddle, J.",,,2012,Environmental Research Letters,,,English,Journal article,,Environmental Research Letters 7(1): 014034,,http://dx.doi.org/10.1088/1748-9326/7/1/014034,10.1088/1748-9326/7/1/014034,,PR,water supply; water conflict; paleohydroclimate; tree-ring analysis; climate change,,UNITED STATES; NORTH AMERICA,,IFPRI3; ISI,EPTD,Open Access,,,,,,,http://iopscience.iop.org/1748-9326/7/1/014034/pdf/1748-9326_7_1_014034.pdf,B,,,http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/3841
A novel seasonal-spatial integrated model for improving the economic-environmental performance of crop production,,"Li, Man; Guo, Zhe; Zhang, Wei",,"http://orcid.org/0000-0002-5999-4009 Guo, Zhe; http://orcid.org/0000-0002-2933-6275 Zhang, Wei",2022,MethodsX,9(2022),Elsevier,English,Journal article,"Excess agricultural nitrogen, mainly from manure and chemical fertilizers, is a primary source of nutrient pollution and presents serious environmental threats to natural ecosystems and human health. Improvements in nitrogen-use efficiency in crop production are critical for addressing the triple challenge of food insecurity, environmental degradation, and climate change. Approaches such as sustainable intensification that stress technological innovations have received the most attention. But science-based cropland use planning, a promising complementary approach, has so far been largely overlooked. Here we develop a spatially integrated economic-ecological modeling method to assess this previously unexplored potential for improving the economic-environmental performance of crop production by examining the seasonal and spatial implications of cropland and fertilizer use in Bangladesh. In doing so, we aim to make the modeling method accessible to researchers and practitioners interested in achieving the dual goal of food production and environmental sustainability for countries that are characterized by seasonal and spatial variations in crop mix and cropping practices.",MethodsX 9(2022): 101906,2215-0161,https://doi.org/10.1016/j.mex.2022.101906,10.1016/j.mex.2022.101906,"Li, Man; Guo, Zhe; and Zhang, Wei. 2022. A novel seasonal-spatial integrated model for improving the economic-environmental performance of crop production. MethodsX 9(2022): 101906. https://doi.org/10.1016/j.mex.2022.101906",PR,agriculture; nitrogen; organic fertilizers; chemical fertilizer; pollution; environment; ecosystems; human health; crop production; food insecurity; environmental degradation; climate change; sustainable intensification; technological innovation; modeling,,BANGLADESH; SOUTH ASIA; ASIA,,IFPRI3; 1 Fostering Climate-Resilient and Sustainable Food Supply; CRP7,EPTD,Open Access,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,Journal article https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7808,,,,,Not ranked,Low-Emission Food Systems,"CGIAR Research Program on Climate Change, Agriculture and Food Security (CCAFS)",http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/8435
A research vision for food systems in the 2020s: Defying the status quo,,"Fanzo, Jessica; Covic, Namukolo M.; Dobermann, Achim; Henson, Spencer; Herrero, Mario; Pingali, Prabhu; Staal, Steve",,"http://orcid.org/0000-0001-6566-9803 Covic, Namukolo",2020,Global Food Security,26(September 2020),Elsevier,English,Journal article,"Research and science should not only inform food and environmental policy but should be adopted and mainstreamed into actions at all levels. Food systems are faced with grander and interconnected challenges and constraints that bring about new research questions. Research has a vital role in charting a positive and sustainable direction for global food security, nutrition, and health. The status quo must be challenged to shape food systems transformation to deliver sustainable, healthier diets. Global Food Security provides a platform where evidence is shared in an accessible manner for those who need to act on it.",Global Food Security 26(September 2020): 100397,2211-9124 ,https://doi.org/10.1016/j.gfs.2020.100397,10.1016/j.gfs.2020.100397,"Fanzo, Jessica; Covic, Namukolo M.; Dobermann, Achim; Henson, Spencer; Herrero, Mario; Pingali, Prabhu; and Staal, Steve. 2020. A research vision for food systems in the 2020s: Defying the status quo. Global Food Security 26(September 2020): 100397. https://doi.org/10.1016/j.gfs.2020.100397",PR,food systems; food security; malnutrition; research; nutrition; sustainable development; Coronavirus; coronavirus disease; Coronavirinae; climate change; innovation; health; diet; agriculture,research and development; future studies; One CGIAR; Covid-19,WORLD,,IFPRI3; ISI; CRP4; DCA; 1 Fostering Climate-Resilient and Sustainable Food Supply; 2 Promoting Healthy Diets and Nutrition for all; 4 Transforming Agricultural and Rural Economies; 5 Strengthening Institutions and Governance; Capacity Strengthening,A4NH,Open Access,,,,,At time of cataloging resource is freely available. Access anticipated to change/The IFPRI author (Namukolo Covic) is part of the Editorial Board of Global Food Security. The publication is a perspective paper co-authored by the editors describing food systems challenges being faced and presenting a vision for food systems to encourage food systems researchers to challenge the status quo to generate solutions.,,,B,,CGIAR Research Program on Agriculture for Nutrition and Health (A4NH),http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/7340
A review of types of risks in agriculture: What we know and what we need to know,,"Komarek, Adam M.; De Pinto, Alessandro; Smith, Vincent H.",,"http://orcid.org/0000-0001-5676-3005 Komarek, Adam; http://orcid.org/0000-0003-0327-494X De Pinto, Alex",2020,Agricultural Systems ,178(February 2020),Elsevier,English,Journal article,"This study examines the scope and depth of research on the five major types of risks in agriculture, and the extent to which those studies have addressed the impacts of, and policies to mitigate individual types of risk as opposed to more holistic analyses of the multiple sources of risk with which farmers have to cope with. Risk is at the center of new paradigms and approaches that inform risk management initiatives and shape investments in many countries. Although the literature includes several substantive reviews of the methods available for risk analysis and their empirical applications have been extensively scrutinized, limited information exists about which types of risks have received sufficient attention, and which have not. This limited information is perplexing because farmers manage multiple risks at the same time and unanticipated events continue to have substantial impacts on farmers. We identify 3283 peer-reviewed studies that address one or more of the five major types of risk in agriculture (production risk, market risk, institutional risk, personal risk, and financial risk) published between 1974 and 2019. We conduct a literature search and then apply an eligibility criteria to retain eligible studies from the search. We then classify those eligible studies based on risk type and geographic focus. We placed no limit on the temporal scale, geographic focus, or study method for inclusion in our search. Results show that 66% of the 3283 studies focused solely on production risk, with only 15% considering more than one type of risk. Only 18 studies considered all five types of risk and those either asked how farmers perceived the importance of each risk or were focused on conceptual issues, rather than assessing how exposure to all the risks quantitatively affects farm indicators such as yields or incomes. Without more detailed analyses of the multiple types of risks faced by farmers, farmers and policymakers will lack the information needed to devise relevant risk management strategies and policies. A shift in research focus towards the analysis of multiple contemporaneous types of risk may provide a basis that gives farmers greater options for coping with and managing risk. We discuss some of the challenges for studying multiple risks simultaneously, including data requirements and the need for probability distributions and the role of simulation approaches.",Agricultural Systems 178(February 2020): 102738,0308-521X ,https://doi.org/10.1016/j.agsy.2019.102738,10.1016/j.agsy.2019.102738,"Komarek, Adam M.; De Pinto, Alessandro; and Smith, Vincent H. 2020. A review of types of risks in agriculture: What we know and what we need to know. Agricultural Systems 178(February 2020): 102738. https://doi.org/10.1016/j.agsy.2019.102738",PR,agriculture; risk; farms; households; farmers; reviews; risk management; risk analysis; agricultural production; food prices; climate change,agricultural risk; production risk; climate risk,,,IFPRI3; ISI; CRP2; CRP7; 1 Fostering Climate-Resilient and Sustainable Food Supply; IFPRIOA,EPTD; PIM,Open Access,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,,,,http://www.ifpri.org/publication/review-types-risks-agriculture-what-we-know-and-what-we-need-know,,A,,"CGIAR Research Programs on Policies, Institutions, and Markets (PIM); CGIAR Research Program on Climate Change, Agriculture and Food Security (CCAFS)",http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/6929
A sequential approach to integrated energy modeling in South Africa ,,"Arndt, Channing; Davies, Rob; Gabriel, Sherwin; Makrelov, Konstatin; Merven, Bruno; Hartley, Faaiqa; Thurlow, James",,"http://orcid.org/0000-0003-3414-374X Thurlow, James; http://orcid.org/0000-0003-2472-6300 Arndt, Channing",2016,Applied Energy,161(January 2016),,English,Journal article,,In Applied Energy. 161(January 2016): 591-599,,http://dx.doi.org/10.1016/j.apenergy.2015.06.053,10.1016/j.apenergy.2015.06.053,"Arndt, Channing; Davies, Rob; Gabriel, Sherwin; Makrelov, Konstatin; Merven, Bruno; Hartley, Faaiqa; Thurlow, James. 2016. A sequential approach to integrated energy modeling in South Africa. In Applied Energy. 161(January 2016): 591-599. http://dx.doi.org/10.1016/j.apenergy.2015.06.053",PR,climate change; carbon; energy,Computable General Equilibrium (CGE) model; carbon tax; The Integrated MARKAL-EFOM System (TIMES),SOUTH AFRICA; SOUTHERN AFRICA; AFRICA SOUTH OF SAHARA; AFRICA,D58 Computable and Other Applied General Equilibrium Models,IFPRI3; CRP2,DSGD; PIM,Open Access,,,,,,,,A,,"CGIAR Research Program on Policies, Institutions, and Markets (PIM)",http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/5057
A stochastic simulation approach to estimating the economic impacts of climate change in Bangladesh,,"Thurlow, James; Dorosh, Paul A.; Yu, Winston",,"http://orcid.org/0000-0001-6049-6018 Dorosh, Paul; http://orcid.org/0000-0003-3414-374X Thurlow, James",2012,Review of Development Economics,,,English,Journal article,,Review of Development Economics 16(3): 412-428,,http://dx.doi.org/10.1111/j.1467-9361.2012.00671.x,10.1111/j.1467-9361.2012.00671.x,,PR,Climate change; Developing countries; Economic development; Stochastic; Economic impacts,,BANGLADESH; SOUTH ASIA; ASIA,,IFPRI3; ISI; CRP2,DSGD; PIM,Restricted,,,,,"1. Special Issue: Climate Change and Economic Development, ed. Channing Arndt, Paul Chinowsky, Ken Strzepek, Finn Tarp, and James Thurlow  2. According to Frank Place, Senior Research Fellow of CGIAR Research Program on Policies, Institutions, and Markets (PIM), this research was part of the PIM research portfolio",,,Not ranked,,"CGIAR Research Program on Policies, Institutions, and Markets (PIM)",http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/3651
Adaptation in a transboundary river basin,Linking stressors and adaptive capacity within the Mekong River Commission,"Heikkila, Tanya; Gerlak, Andrea K.; Bell, Andrew; Schmeier, Susanne",,,2013,Environmental Science and Policy,,,English,Journal article,,Environmental Science and Policy 25(January): 73-82,,http://dx.doi.org/10.1016/j.envsci.2012.09.013,10.1016/j.envsci.2012.09.013,"Heikkila, Tanya; Gerlak, Andrea K.; Bell, Andrew; and Schmeier, Susanne. 2013. Adaptation in a transboundary river basin: Linking stressors and adaptive capacity within the Mekong River Commission. Environmental Science and Policy 25(January): 73-82. http://dx.doi.org/10.1016/j.envsci.2012.09.013",PR,adaptation; river basin organization; adaptive capacity; climate change; flooding; hydropower,,,,IFPRI3; ISI; GRP22,EPTD,Restricted,,,,,,,,B,,,http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/3769
Adaptation mitigates the negative effect of temperature shocks on household consumption,,"Lai, Wangyang; Li, Shanjun; Liu, Yanyan; Barwick, Panle Jia","Lai, Wangyang","http://orcid.org/0000-0001-7553-2464 Liu, Yanyan",2022,Nature Human Behavior,6,Nature Publishing Group,English,Journal article,,Nature Human Behavior 6: 837-846,2397-3374,https://doi.org/10.1038/s41562-022-01315-9,10.1038/s41562-022-01315-9,"Lai, Wangyang; Li, Shanjun; Liu, Yanyan; and Barwick, Panle Jia. 2022. Adaptation mitigates the negative effect of temperature shocks on household consumption. Nature Human Behavior 6: 837-846. https://doi.org/10.1038/s41562-022-01315-9",PR,shock; household consumption; temperature resistance; weather; climate change; climate change adaptation; economics,,WORLD,,IFPRI3; 5 Strengthening Institutions and Governance; DCA; ISI,MTID,Restricted,,,,,,,,A*,,,http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/8169
Adapting agriculture to climate change in Kenya,Household strategies and determinants,"Bryan, Elizabeth; Ringler, Claudia; Okoba, Barrack; Roncoli, Carla; Silvestri, Silvia; Herrero, Mario",,"http://orcid.org/0000-0002-0906-222X Bryan, Elizabeth; http://orcid.org/0000-0002-8266-0488 Ringler, Claudia;",2013,Journal of Environmental Management,,,English,Journal article,,Journal of Environmental Management 114(15 January 2013): 26-35,,http://dx.doi.org/10.1016/j.jenvman.2012.10.036,10.1016/j.jenvman.2012.10.036,"Bryan, Elizabeth; Ringler, Claudia; Okoba, Barrack; Roncoli, Carla; Silvestri, Silvia; and Herrero, Mario. 2013. Adapting agriculture to climate change in Kenya: Household strategies and determinants. Journal of Environmental Management 114(15 January 2013): 26-35. http://dx.doi.org/10.1016/j.jenvman.2012.10.036",PR,Climate change; Adaptation; agriculture,,KENYA; EAST AFRICA; AFRICA SOUTH OF SAHARA; AFRICA,,IFPRI3; ISI; CRP7; CCAFS,EPTD,Restricted,,,,,,,,B,,"CGIAR Research Program on Climate Change, Agriculture and Food Security (CCAFS)",http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/3792
"Adapting irrigated and rainfed wheat to climate change in semi-arid environments: Management, breeding options and land use change",,"Hernandez-Ochoa, Ixchel M.; Pequeno, Diego Notello Luz; Reynolds, Matthew P.; Babar, Md Ali; Robertson, Ricky",,"http://orcid.org/0000-0001-5741-3867 Robertson, Richard",2019,European Journal of Agronomy,109(September 2019),Elsevier,English,Journal article,,European Journal of Agronomy 109(September 2019): 125915,1161-0301,https://doi.org/10.1016/j.eja.2019.125915,10.1016/j.eja.2019.125915,"Hernandez-Ochoa, Ixchel M.; Pequeno, Diego Notello Luz; Reynolds, Matthew P.; Babar, Md Ali; Robertson, Ricky; et al. 2019. Adapting irrigated and rainfed wheat to climate change in semi-arid environments: Management, breeding options and land use change. European Journal of Agronomy 109(September 2019): 125915. https://doi.org/10.1016/j.eja.2019.125915",PR,irrigated farming; irrigation; rainfed farming; wheat; climate change; climate; semiarid climate; land use change; land use; crop production; crop losses; fertilizers; yields; Triticum; uncertainty,Crop model ensemble,MEXICO; LATIN AMERICA; NORTH AMERICA,,IFPRI3; ISI; CRP3.1; CRP2; 1 Fostering Climate-Resilient and Sustainable Food Supply,EPTD; PIM,Restricted,,,Journal article http://ebrary.ifpri.org/cdm/ref/collection/p15738coll5/id/6985 http://ebrary.ifpri.org/cdm/ref/collection/p15738coll5/id/6356 http://ebrary.ifpri.org/cdm/ref/collection/p15738coll5/id/6099 http://ebrary.ifpri.org/cdm/ref/collection/p15738coll5/id/5471 http://ebrary.ifpri.org/cdm/ref/collection/p15738coll5/id/5513,,,,,B,,"CGIAR Research Program on Wheat (WHEAT); CGIAR Platform for Big Data in Agriculture (Big Data); CGIAR Research Program on Policies, Institutions, and Markets (PIM)",http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/7065
Adapting to climate change: Scenario analysis of grain production in China,,"Zhou, Shudong; Zhou, Wenkui; Lin, Guanghua; Chen, Jing; Jiang, Tong; Li, Man",,"http://orcid.org/0000-0003-4296-4097 Li, Man",2017,China Agricultural Economic Review,9(4),Emerald Group Publishing Limited,English,Journal article,,China Agricultural Economic Review 9(4): 643-659,,https://doi.org/10.1108/CAER-10-2016-0173,10.1108/CAER-10-2016-0173,"Zhou, Shudong; Zhou, Wenkui; Lin, Guanghua; Chen, Jing; Jiang, Tong; and Li, Man. 2017. Adapting to climate change: Scenario analysis of grain production in China. China Agricultural Economic Review 9(4): 643-659. https://doi.org/10.1108/CAER-10-2016-0173",PR,climate change; climate change adaptation; grain crops; crop production; crop modelling;,Chinese Agricultural Policy Analysis model; CAPA model;,CHINA; EAST ASIA; ASIA,,IFPRI3; ISI; CRP7; A Ensuring Sustainable food production; COP,EPTD,Restricted,,,,,,,,C,,"CGIAR Research Program on Climate Change, Agriculture and Food Security (CCAFS)",http://cdm15738.contentdm.oclc.org/cdm/ref/collection/p15738coll5/id/5985
