dc.title,dc.contributor.author,dc.type,dc.date.issued,dc.identifier.uri,dc.identifier.doi,dc.subject,cg.subject.cifor,cg.contributor.affiliation,cg.contributor.center,cg.contributor.donor,cg.coverage.region,cg.coverage.country,cifor.publication.status,dc.type.refereed,dc.description.abstract,cifor.source.title,dc.identifier.issn,cifor.source.volume,cifor.source.numbers,dc.publisher,dc.type.isi,dc.language,dc.language.iso,cifor.type.oa,dc.rights,dc.format.extent,cifor.source.page
"Farmland tree species diversity and spatial distribution pattern in semi-arid East Shewa, Ethiopia",Endale Y; Derero A; Argaw M; Muthuri C,Journal Article,2017-07-09,#/11463/31779,https://doi.org/10.1080/14728028.2016.1266971,land management; biodiversity; food security; farming system,,,,Australian Centre for International Agriculture Research (ACIAR),East Africa,Ethiopia,,,"Information on tree species occurring in farming systems in semi-arid agroecologies is critical for sustainable land management, biodiversity conservation and informing food security interventions. The aim of the study was to characterize the species composition, diversity, structure and spatial distribution patterns of trees in the semi-arid East Shewa Zone of Oromia, Ethiopia. A survey of 172 land parcels with a total area of 76.09 ha, and belonging to 100 randomly selected farm households was conducted in 5 semi-arid sites in East Shewa. A total of 77 tree species belonging to 32 families were identified, and the Fabaceae were the dominant group. Trees were distributed differently in the four identified land uses (homesteads, line plantings, in crop lands and woodlots). Tree diversity was the highest in line plantings and the lowest in woodlots with the Shannon diversity index of 3.1 and 1.8, respectively. The majority (70%) of the species were native, whereas the remaining 30% were exotic. The average number of tree species per parcel was 4.7 ranging from treeless condition to 36 tree species in an exceptional farm condition. The height and diameter at breast height of the 6066 recorded individuals (2 m and above) ranged from 2 to 25 m and from 1 to 86 cm, respectively. The species Acacia tortilis, Eucalyptus camaldulensis and Acacia senegal were the three dominant species in the system. Correlation analysis revealed that land-holding size had significant positive relationships with tree species abundance and basal area, but not with species richness. Interventions are suggested for increasing the currently very low tree cover through planting and managing natural regeneration for improved farming system resilience in the face of climate change. © 2016 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Forests, Trees and Livelihoods",1472-8028,26,3,,Non-ISI Journal,English,en,Open Access,,,199-214
"Tropical Peat and Peatland Development in the Floodplains of the Greater Pamba Basin, South-Western India during the Holocene","Kumaran, N.K.P.; Padmalal, D.; Limaye, R.B.; S, V.M.; Jennerjahn, T.; Gamre, P.G.",Journal Article,2016-05-10,#/11463/23958,https://doi.org/10.1371/journal.pone.0154297,sedimentation; wetlands; peatlands; tropics; paleoclimatology; freshwater; floodplains,,Agharkar Research Institute; National Centre for Earth Science Studies; Leibniz Centre for Tropical Marine Ecology,,,South Asia,India,,,"Holocene sequences in the humid tropical region of Kerala, South-western (SW) India have preserved abundance of organic—rich sediments in the form of peat and its rapid development in a narrow time frame towards Middle Holocene has been found to be significant. The sub—coastal areas and flood plains of the Greater Pamba Basin have provided palaeorecords of peat indicating that the deposits are essentially formed within freshwater. The combination of factors like stabilized sea level and its subsequent fall since the Middle Holocene, topographic relief and climatic conditions led to rapid peat accumulation across the coastal lowlands. The high rainfall and massive floods coupled with a rising sea level must have inundated > 75% of the coastal plain land converting it into a veritable lagoon—lake system that eventually led to abrupt termination of the forest ecosystem and also converted the floodplains into peatland where accumulation of peat almost to 2.0–3.0 m thickness in coastal lowlands and river basins during the shorter interval in the Middle Holocene. Vast areas of the coastal plains of Kerala have been converted into carbon rich peatland during the Middle Holocene and transforming the entire coastal stretch and associated landforms as one of the relatively youngest peatlands in the extreme southern tip of India. Unlike the uninterrupted formation of peatlands of considerable extent during the Holocene in Southeast Asia, the south Peninsular Indian region has restricted and short intervals of peatlands in the floodplains and coastal lowlands. Such a scenario is attributed to the topographic relief of the terrain and the prevailing hydrological regimes and environmental conditions as a consequence of monsoon variability since Middle Holocene in SW India. Considering the tropical coastal lowlands and associated peatlands are excellent repositories of carbon, they are very important for regional carbon cycling and habitat diversity. The alarming rate of land modification and development is destabilizing these carbon pools resulting in large scale carbon emissions to the atmosphere and loss of low-latitude peat palaeorecords. Therefore, these palaeorecords are to be conserved and addressed for better understanding and utilizing the carbon pool for effective climate change adaptation. This communication is the first attempt of addressing the peat formation and peatland development during the Holocene from the tropical region of Peninsular India.",PLoS ONE,1932-6203,11,5,,ISI Journal,English,en,Gold Open Access,,,e0154297
What Peace Means for Deforestation: An Analysis of Local Deforestation Dynamics in Times of Conflict and Peace in Colombia,"Ganzenmüller, R.; Sylvester, J.M.; Castro-Nunez, A.",Journal Article; ISI,2022-02-21,#/11463/23946,https://doi.org/10.3389/fenvs.2022.803368,deforestation; conflict; time series; land use change; climate change,,Alliance of Bioversity International and CIAT; Ludwig-Maximilians-Universität München; University of Copenhagen,International Center for Tropical Agriculture (CIAT),,South America,Colombia,,,"Using Colombia as a case study, this analysis provides insights on deforestation dynamics in times of conflict and peace and the different factors driving these dynamics. We performed time series clustering of yearly deforestation data (2001–2018) from 708 out of 1,122 mainland Colombian municipalities (accounting for 98% of the total deforestation areas in Colombia) and produced regression models using a gradient tree boosting framework (XGBoost) to identify drivers that explain varying, local-level deforestation dynamics. Municipalities were characterized by seven categories of deforestation dynamics, with the Amazon region being largely represented by only four categories and the Andes region displaying all categories of deforestation dynamics. Notably, six of the seven representative categories exhibit substantial increases in deforestation in the years following the peace agreement. The regression analysis revealed that coca cultivation area, number of cattle, and municipality area are the top three drivers of deforestation dynamics at national, regional, and category levels. However, the importance of the different variables varied according to the different spatial dimensions. Results provide further understanding on how the drivers of deforestation change not only at a regional scale, as assumed by much of the current literature about drivers of deforestation, but also at a lower scale of analysis (intraregional and intradepartmental variation in the case of Colombia). Insights from this study can be used to understand deforestation dynamics in other countries experiencing times of conflict and peace and will support decision-makers in creating programs that align actions for peacebuilding, climate change mitigation, and biodiversity conservation more effectively.",Frontiers in Environmental Science,2296-665X,10,,,ISI Journal,English,en,Gold Open Access,Attribution 4.0,,803368
"Carbon stocks of Geramo forest, the western escarpment of the rift valley of Ethiopia","Getaneh, Z.A.; Demissew, S.; Woldu, Z.; Aynekulu Betemariam, E.",Journal Article,2023-11-16,#/11463/35227,https://doi.org/10.1016/j.sajb.2023.11.017,carbon sinks; carbon sequestration; soil carbon; aboveground biomass; forest management; climate change,Soil and Land Health,Addis Ababa University; Arba Minch University; World Agroforestry Centre,World Agroforestry Centre (ICRAF),,East Africa,Ethiopia,,,"Forests play a vital role in the global carbon balance and combating global climate change by sequestering and retaining carbon from the atmosphere in their biomass and soil. Thus, this study aims to estimate the carbon stocks in the biomass and soil along with various environmental factors in the Geramo forest in southern Ethiopia. Ninety-six plots (20 × 20 m2) were laid at a distance of 250 m along 16 line transects that were laid 300 m apart. Five 1 × 1 m2 subplots (4 at the corner and 1 at the center) were laid inside each main plot for LHG and soil data collection. The results revealed that the estimated total carbon stocks and mean carbon stock densities of the study forest were 57994 Mg h−1and 604 ± 344 Mg h−1, respectively, with a mean CO2 equivalent of 2217 ± 1262 Mg h−1. This result indicates the remarkable role of the Geramo forest in carbon stock and sequestration potential compared with other remnant forests in Ethiopia. Thus, the Geramo forest plays a crucial role in climate change mitigation through carbon sequestration, and hence, this forest can generate carbon credits as financial benefits to the nearby population in the future. The results also revealed that anthropogenic disturbances were negatively associated with the carbon stocks of the forest. Therefore, sustainable forest conservation activities are needed to conserve forest resources, protect the forest from growing anthropogenic disturbances, and sustain its current global climate change mitigation and adaptation benefits.",South African Journal of Botany,0254-6299,163,,,ISI Journal,English,en,Closed Access,,,609-619
Very high CO2 exchange fluxes at the peak of the rainy season in a West African grazed semi-arid savanna ecosystem,"Tagesson T; Ardö J; Guiro I; Cropley F; Mbow C; Horion S; Ehammer A; Mougin E; Delon C; Galy-Lacaux C; Fensholt, R.",Journal Article,2016-07-08,#/11463/31866,https://doi.org/10.1080/00167223.2016.1178072,ecosystems; shrubs; climate change; carbon dioxide (co2),,,,,West Africa,Senegal,,,"Africa is a sink of carbon, but there are large gaps in our knowledge regarding the CO2 exchange fluxes for many African ecosystems. Here, we analyse multi-annual eddy covariance data of CO2 exchange fluxes for a grazed Sahelian semi-arid savanna ecosystem in Senegal, West Africa. The aim of the study is to investigate the high CO2 exchange fluxes measured at the peak of the rainy season at the Dahra field site: gross primary productivity and ecosystem respiration peaked at values up to 48 mol CO2 m2 s1 and 20 mol CO2 m2 s1, respectively. Possible explanations for such high fluxes include a combination of moderately dense herbaceous C4 ground vegetation, high soil nutrient availability and a grazing pressure increasing the fluxes. Even though the peak net CO2 uptake was high, the annual budget of 229 ± 7 ± 49 g C m2 y1 (±random errors ± systematic errors) is comparable to that of other semi-arid savanna sites due the short length of the rainy season. An inter-comparison between the open-path and a closed-path infrared sensor indicated no systematic errors related to the instrumentation. An uncertainty analysis of long-term NEE budgets indicated that corrections for air density fluctuations were the largest error source (11.3% out of 24.3% uncertainty). Soil organic carbon data indicated a substantial increase in the soil organic carbon pool for the uppermost.20 m. These findings have large implications for the perception of the carbon sink/source of Sahelian ecosystems and its response to climate change. © 2016 The Royal Danish Geographical Society.",Geografisk Tidsskrift - Danish Journal of Geography,0016-7223,116,2,,ISI Journal,English,en,Closed Access,,,93-109
Unstacking high temporal resolution meteorological data for multidimensional analysis of climate variability in southern Burkina Faso,Borona M; Mbow C; Ouedraogo I,Journal Article,2016-07-08,#/11463/31867,https://doi.org/10.1080/00167223.2016.1212668,climate change; research and development; drought; precipitation,,,,Ministry for Foreign Affairs of Finland,West Africa,Burkina Faso,,,"Climate variability, expressed by random short time variation in rainfall and temperature, has severe effects on agriculture in the Sahel. This region depends on a short and uncertain rainy season with many uncertainties in short-term climate variations that affect farm decisions in regards to. sowing period, crop variety, water management, etc. The most conspicuous climate variability issue in West Africa is the high intra-seasonal and inter-annual variability associated with dry (or too wet) spells, and in most cases, season length modifications. We derived selected climate descriptors from 35-year daily climate data to assess inter-annual rainfall anomalies, seasonal variation and temperature trends in southern Burkina Faso. Results show the evolution in the number of rainy days and rainfall sum from the drier years in the late 1970s and early 1980s, which were followed by positive but variable rainfall in the 1990s and 2000s. We further observed widespread occurrence of unsuccessful season onsets in more than 50% of the study period. Short dry spells of 5–10 days dominate most of the years with longer spells at onset shortening the season. The results could be used to orientate interventions aimed at providing well-packaged forecasts for adaptation needs.",Geografisk Tidsskrift - Danish Journal of Geography,0016-7223,116,2,,ISI Journal,English,en,Closed Access,,,176-189
Multi-century tree-ring precipitation record reveals increasing frequency of extreme dry events in the upper Blue Nile River catchment,"Mokria M; Abiyu A; Bräuning A; van Noordwijk, M.; Gebrekirstos, A.",Journal Article,2017-07-09,#/11463/31880,https://doi.org/10.1111/gcb.13809,humanitarian; trees; rainfall; spatial; climate change,,,,,Africa,,,,"Climate-related environmental and humanitarian crisis are important challenges in the Great Horn of Africa (GHA). In the absence of long-term past climate records in the region, tree-rings are valuable climate proxies, reflecting past climate variations and complementing climate records prior to the instrumental era. We established annually resolved multi-century tree-ring chronology from Juniperus procera trees in northern Ethiopia, the longest series yet for the GHA. The chronology correlates significantly with wet-season (r = .64, p < .01) and annual (r = .68, p < .01) regional rainfall. Reconstructed rainfall since A.D. 1811 revealed significant interannual variations between 2.2 and 3.8 year periodicity, with significant decadal and multidecadal variations during 1855–1900 and 1960–1990. The duration of negative and positive rainfall anomalies varied between 1–7 years and 1–8 years. Approximately 78.4% (95%) of reconstructed dry (extreme dry) and 85.4% (95%) of wet (extreme wet) events lasted for 1 year only and corresponded to historical records of famine and flooding, suggesting that future climate change studies should be both trend and extreme event focused. The average return periods for dry (extreme dry) and wet (extreme wet) events were 4.1 (8.8) years and 4.1 (9.5) years. Extreme-dry conditions during the 19th century were concurrent with drought episodes in equatorial eastern Africa that occurred at the end of the Little Ice Age. El Niño and La Niña events matched with 38.5% and 50% of extreme-dry and extreme-wet events. Equivalent matches for positive and negative Indian Ocean Dipole events were weaker, reaching 23.1 and 25%, respectively. Spatial correlations revealed that reconstructed rainfall represents wet-season rainfall variations over northern Ethiopia and large parts of the Sahel belt. The data presented are useful for backcasting climate and hydrological models and for developing regional strategic plans to manage scarce and contested water resources. Historical perspectives on long-term regional rainfall variability improve the interpretation of recent climate trends.",Global Change Biology,1365-2486,23,12,,ISI Journal,English,en,Closed Access,,,5436-5454
Challenges to scenario-guided adaptive action on food security under climate change,"Vervoort J M; Thornton P K; Kristjanson, P.M.; Firch W; Ericksen, P.J.; Kok K; Ingram J S I; Herrero M; Palazzo A; Helfgott A E S; Wilkinson A; Havlik P; Mason-D'Croz D; Jost C C",Journal Article,2014-07-06,#/11463/31896,https://doi.org/10.1016/j.gloenvcha.2014.03.001,climate change; food security; climate change; food systems,,,,,East Africa,Kenya; Burundi; Ethiopia; Uganda; Tanzania; Rwanda,,,"This paper examines the development and use of scenarios as an approach to guide action in multi-level, multi-actor adaptation contexts such as food security under climate change. Three challenges are highlighted: (1) ensuring the appropriate scope for action; (2) moving beyond intervention-based decision guidance; and (3) developing long-term shared capacity for strategic planning. To overcome these challenges we have applied explorative scenarios and normative back-casting with stakeholders from different sectors at the regional level in East Africa. We then applied lessons about appropriate scope, enabling adaptation pathways, and developing strategic planning capacity to scenarios processes in multiple global regions. Scenarios were created to have a broad enough scope to be relevant to diverse actors, and then adapted by different actor groups to ensure their salience in specific decision contexts. The initial strategy for using the scenarios by bringing a range of actors together to explore new collaborative proposals had limitations as well as strengths versus the application of scenarios for specific actor groups and existing decision pathways. Scenarios development and use transitioned from an intervention-based process to an embedded process characterized by continuous engagement. Feasibility and long-term sustainability could be ensured by having decision makers own the process and focusing on developing strategic planning capacity within their home organizations.",Global Environmental Change,0959-3780,28,,,ISI Journal,English,en,Open Access,,,383-394
Smallholder farmer cropping decisions related to climate variability across multiple regions,"Wood S A; Jina A S; Jain M; Kristjanson, P.M.; DeFries R S",Journal Article,2014-07-06,#/11463/31897,https://doi.org/10.1016/j.gloenvcha.2013.12.011,climate change; decision making; smallholders; sub-saharan africa; livelihoods,,,,European Commission (EC),Eastern Africa; West Africa; South Asia,,,,"A long history of household-level research has provided important local-level insights into climate adaptation strategies in the agricultural sector. It remains unclear to what extent these strategies are generalizable or vary across regions. In this study we ask about three potential key factors influencing farming households’ ability to adapt: access to weather information, household and agricultural production-related assets, and participation in local social institutions. We use a 12-country data set from sub-Saharan Africa and South Asia to explore the links between these three potential drivers of agricultural change and the likelihood that farmers made farm-associated changes, such as adopting improved crop varieties, increasing fertilizer use, investing in improved land management practices, and changing the timing of agricultural activities. We find evidence that access to weather information, assets, and participation in social institutions are associated with households that have reported making farming changes in recent years, although these results vary across countries and types of practices. Understanding these drivers and outcomes of farm-associated changes across different socio-economic and environmental conditions is critical for ongoing dialogues for climate-resilient strategies and policies for increasing the adaptive capacity of smallholders under climate change.",Global Environmental Change,0959-3780,25,,,ISI Journal,English,en,Open Access,,,163-172
"Climate change, vegetation restoration and engineering as a 1: 2: 1 explanation for reduction of suspended sediment in southwest China","Ma X; Lu X; Li J T; van Noordwijk, M.; Xu, J.",Journal Article,2013-07-05,#/11463/31932,https://doi.org/10.5194/hessd-10-12417-2013,climate change; vegetation,,,,,Southeast Asia,China,,,"Suspended sediment transport in rivers is controlled by terrain, climate and human activities. These variables affect hillslope and riverbank erosion at the source, transport velocities and sedimentation opportunities in the river channel, and entrapment in reservoirs. The relative importance of those factors varies with context but correct attribution is important for policy debates. We analyzed data from the Kejie watershed in the upper Salween, where a combination of land cover change (reforestation, soil and water conservation measures) and river channel engineering (sand mining and check dam construction) interact with a changing climate. Long-term records (1971-2010) of river flow and suspended sediment loads were combined with five land use maps from 1974, 1991, 2001, 2006 and 2009. Average annual sediment yield decreased from 13.7 t ha1 yr1 to 8.3 t ha1 yr1 between the 1971-1985 and 1986-2010. A distributed hydrological model (Soil and Water Assessment Tools, SWAT) was set up to simulate the sediment sourcing and transport process. By recombining land use and climate data for the two periods in model scenarios, the contribution of these two factors could be assessed with engineering effects derived from residual measured minus modeled transport. Overall 46% of the decrease was due to from land use and land cover change, 25% to climate change to a milder rainfall regime, 25% to engineering measures, and 4% to simulation bias. Mean annual suspended sediment yield decreased exponentially with the increase of forest cover. We discuss the implications for future soil and water conservation initiatives in China.",Hydrology and Earth System Sciences Discussions,1812-2116,10,,,ISI Journal,English,en,Open Access,,,12417-12451
