Title,Authors,Abstract,Funders,Language,DOI,Repository link,Publication date,Journal,Publisher,Pages,Subjects
Editorial: Evolution of abiotic stress responses in land plants,"Diaa Abd El Moneim; Garcia-Oliveira, A.L.; Mahmoud Magdy",,,English,10.3389/fgene.2023.1321165,https://hdl.handle.net/10883/23100,2023,Frontiers in Genetics,Frontiers,,abiotic stress; terrestrial plants; climate change; land plants; molecular responses; plant stress biology
"Women, economic resilience, gender norms in a time of climate change: what do we know?","Farnworth, C.; Rietveld, A.M.; Voss, R.C.; Meentzen, A.","This literature delves into 82 research articles, published between 2016 and 2022, to develop a deep understanding of how women manage their lives and livelihoods within their agrifood systems when these systems are being affected, sometimes devastatingly, by climate change. The Findings show that four core gender norms affect the ability of women to achieve economic resilience in the face of climate change operate in agrifood production systems. Each of these gender norms speaks to male privilege: (i) Men are primary decision-makers, (ii) Men are breadwinners, (iii) Men control assets, and (iv) Men are food system actors. These gender norms are widely held and challenge women’s abilities to become economically resilient. These norms are made more powerful still because they fuse with each other and act on multiple levels, and they serve to support other norms which limit women’s scope to act. It is particularly noteworthy that many institutional actors, ranging from community decision-makers to development partners, tend to reinforce rather than challenge gender norms because they do not critically review their own assumptions. 
However, the four gender norms cited are not hegemonic. First, there is limited and intriguing evidence that intersectional identities can influence women’s resilience in significant ways. Second, gender norms governing women’s roles and power in agrifood systems are changing in response to climate change and other forces, with implications for how women respond to future climate shocks. Third, paying attention to local realities is important – behaviours do not necessarily substantiate local norms. Fourth, women experience strong support from other women in savings groups, religious organisations, reciprocal labour, and others. Fifth, critical moments, such as climate disasters, offer potentially pivotal moments of change which could permit women unusually high levels of agency to overcome restrictive gender norms without being negatively sanctioned. The article concludes with recommendations for further research.",HER PLUS CGIAR Initiative,English,,https://hdl.handle.net/10883/22996,2023,,[CIMMYT],,economics; resilience; climate change; gender norms; agrifood systems; women; economic resilience; intersectional identities; women groups support
Economics of crop residue management,"Krishna, V.; Mkondiwa, M.","More than five billion metric tons of agricultural residues are produced annually worldwide. Despite having multiple uses and significant potential to augment crop and livestock production, a large share of crop residues is burned, especially in Asian countries. This unsustainable practice causes tremendous air pollution and health hazards while restricting soil nutrient recycling. In this review, we examine the economic rationale for unsustainable residue management. The sustainability of residue utilization is determined by several economic factors, such as local demand for and quantity of residue production, development and dissemination of technologies to absorb excess residue, and market and policy instruments to internalize the social costs of residue burning. The intervention strategy to ensure sustainable residue management depends on public awareness of the private and societal costs of open residue burning.",,English,10.1146/annurev-resource-101422-090019,https://hdl.handle.net/10883/22942,2023,Annual Review of Resource Economics,Annual Reviews Inc.,19-39,crops; biomass; residues; environmental impact; climate change; smallholders; technology adoption; crop biomass; residue burning; environmental effects
"Sustainability evaluation of contrasting milpa systems in the Yucatán Peninsula, Mexico","Gonzalez-Esquivel, C.; Briones-Guzmán, C.; Tovar López, E.; Lopez-Ridaura, S.; Arnés, E.; Camacho Villa, T.C.","The milpa agroecosystem is an intercropping of maize, beans, squash and other crops, developed in Mesoamerica, and its adoption is widely variable across climates and regions. An example of particular interest is the Yucatan Peninsula in Mexico, which holds highly diverse milpas, drawing on ancestral Mayan knowledge. Traditional milpas have been described as sustainable resource management models, based on long rotations within a slash-and-burn cycle in forest areas. Nevertheless, due to modernization and intensification processes, new variants of the approach have appeared. The objective of this study was to evaluate the sustainability of three milpa systems (traditional, continuous, and mechanized) in four case studies across the Peninsula, with emphasis on food self-sufficiency, social inclusion and adoption of innovations promoted by a development project. The Framework for the Evaluation of Agroecosystems using Indicators (MESMIS, for its Spanish acronym) was used for its flexible, participatory approach. A common group of indicators was developed despite regional differences between study cases, with a high level of farmer participation throughout the iterative process. The results show lower crop yields in traditional systems, but with lower inputs costs and pesticide use. In contrast, continuous milpas had higher value in terms of crop diversity, food security, social inclusion, and innovation adoption. Mechanized milpas had lower weed control costs. Profitability of cash crops and the proportion of forest were high in all systems. Highly adopted innovations across milpa types and study cases included spatial crop arrangement and the use of residues as mulches. However, most innovations are not adapted to local conditions, and do not address climate change. Further, women and youth participation is low, especially in traditional systems.",,English,10.1007/s10668-023-04281-y,https://hdl.handle.net/10883/22887,2023,"Environment, Development and Sustainability",Springer,,sustainability; intercropping; food security; innovation; social inclusion; agroecosystems; case studies; milpa; intensification processes; women and youth participation
Character association study in maize hybrids developed through integration of rapid cycle genomic selection and doubled haploid technology for heat stress tolerance,"Swamy, N.; Kuchanur, P.; Patil, A.; Zaidi, P.; Vinayan, M.T.; Arunkumar, B.; Sowmya, H.C.; Dhanoji, M.M.","Heat stress is becoming a major constraint for maize production; therefore heat stress resilience has emerged as an important aspect in maize hybrids targeted for post rainy spring season. Selection of genotypes based on high grain yield under heat stress condition is often misleading and the identification of secondary traits also associated with grain yield may help in development of heat tolerant cultivars. Hence, the present research work to study the association of traits was conducted during summer and kharif 2018 and rabi 2018-19 at Bheemarayanagudi and Raichur using 111 testcross progenies of doubled haploids derived from C1, C2 and C3 cycles of multi-parental synthetic population 1 and 2 improved through rapid cycle genomic selection for heat stress tolerance. The phenotypic correlation analysis under heat stress and optimal conditions, number of kernels per cob and cob girth exhibited the strong positive association with grain yield per plant. Further, under early spring condition number of kernels per cob, cob length, cob girth and 100 grain weight recorded the strong positive association with grain yield per plant. However, when considering across heat stress, early spring and optimal conditions, the grain yield per plant showed positive and significant strong to moderate association with the traits viz., number of kernels per cob, cob length and cob girth under all the seasons. In addition, days to 50% silking showed significant negative correlation with grain yield per plant under heat stress and optimal condition. Hence, the simultaneous selection criteria for the genotypes that exerts early silking, higher number of kernels per cob, higher cob girth and lengthy cob should be the priority of breeders to achieve higher grain yields in maize under heat stress condition as well as optimal conditions.",United States Agency for International Development (USAID),English,10.9734/ijecc/2023/v13i113323,https://hdl.handle.net/10883/22863,2023,International Journal of Environment and Climate Change,Sciencedomain International,1678-1693,maize; heat stress; marker-assisted selection; doubled haploids; phenotypic variation; climate change; multi-parental synthetics; rapid cycle genomic selection; phenotypic correlation
Willingness to pay (WTP) for heat-tolerant maize hybrids in the Mid-Western Terai region of Nepal,"Kulkarni, A.P.; Tripathi, M.P.; Gautam, D.; Koirala, K.B.; Kandel, M.; Regmi, D.; Sapkota, S.; Zaidi, P.","High atmospheric temperatures can reduce maize production in different parts of Asia. Heat stress is the major driving force behind the need for varietal development that confers a heat tolerance trait (drought + heat tolerant) to maize hybrids. CIMMYT has developed heat-tolerant maize hybrids and deployed them in the market in collaboration with NARS partners. This study was conducted to estimate farmers’ willingness to pay for heat-tolerant maize hybrids in the Terai region of Nepal. A socioeconomic survey of 404 randomly selected maize-growing households was conducted to estimate farmers’ willingness to pay using the contingent valuation method. Given the economic importance of heat-tolerant maize hybrids in maize cultivation, the survey showed that the average WTP for heat-tolerant maize hybrids was 71% more than that for the current varieties in the market, including overall seed sources and subsidized seed. Without a subsidy, the farmers’ WTP price was at a 19% premium compared to the average price paid for conventional hybrids. Factors such as education, owning land, the interaction of hybrid adopters and owning land, soil depth, the number of goats/sheep, and the semi-pucca homes of households influenced the WTP for heat-tolerant maize hybrids. Heterogeneous demand was observed with respect to years of hybrid maize cultivation, farmers’ association with the network group, and the gender of the head of the household. In the context of climate change and global warming scenarios, Nepal’s agriculture policy should prioritize increasing domestic seed production and the distribution of heat-tolerant maize hybrids through a public–private partnership model.",United States Agency for International Development (USAID),English,10.3390/su15043068,https://hdl.handle.net/10883/22861,2023,Sustainability,MDPI,,heat tolerance; maize; hybrids; willingness to pay; contingent valuation; heat-tolerant maize hybrid; preference heterogeneity
Genome editing for sustainable agriculture in Africa,"Leena Tripathi; Dhugga, K.; Valentine O. Ntui; Runo, S.; Easter D. Syombua; Samwel Muiruri; Zhengyu Wen; Tripathi, J.","Sustainable intensification of agriculture in Africa is essential for accomplishing food and nutritional security and addressing the rising concerns of climate change. There is an urgent need to close the yield gap in staple crops and enhance food production to feed the growing population. In order to meet the increasing demand for food, more efficient approaches to produce food are needed. All the tools available in the toolbox, including modern biotechnology and traditional, need to be applied for crop improvement. The full potential of new breeding tools such as genome editing needs to be exploited in addition to conventional technologies. Clustered regularly interspaced short palindromic repeats/CRISPR-associated protein (CRISPR/Cas)-based genome editing has rapidly become the most prevalent genetic engineering approach for developing improved crop varieties because of its simplicity, efficiency, specificity, and easy to use. Genome editing improves crop variety by modifying its endogenous genome free of any foreign gene. Hence, genome-edited crops with no foreign gene integration are not regulated as genetically modified organisms (GMOs) in several countries. Researchers are using CRISPR/Cas-based genome editing for improving African staple crops for biotic and abiotic stress resistance and improved nutritional quality. Many products, such as disease-resistant banana, maize resistant to lethal necrosis, and sorghum resistant to the parasitic plant Striga and enhanced quality, are under development for African farmers. There is a need for creating an enabling environment in Africa with science-based regulatory guidelines for the release and adoption of the products developed using CRISPR/Cas9-mediated genome editing. Some progress has been made in this regard. Nigeria and Kenya have recently published the national biosafety guidelines for the regulation of gene editing. This article summarizes recent advances in developments of tools, potential applications of genome editing for improving staple crops, and regulatory policies in Africa.",,English,10.3389/fgeed.2022.876697,https://hdl.handle.net/10883/22753,2022,Frontiers in Genome Editing,Frontiers Media S.A.,,crops; agriculture; crispr; gene editing; policies; genome editing; african crops; regulatory policies
Silage maize as a potent candidate for sustainable animal husbandry development—perspectives and strategies for genetic enhancement,"Karnatam, K.S.; Mythri, B.; Wajhat Un Nisa; Sharma, H.; Kumar, T.; Rana, P.; Vikal, Y.; Gowda, M.; Dhillon, B.S.; Sandhu, S.","Maize is recognized as the queen of cereals, with an ability to adapt to diverse agroecologies (from 58oN to 55oS latitude) and the highest genetic yield potential among cereals. Under contemporary conditions of global climate change, C4 maize crops offer resilience and sustainability to ensure food, nutritional security, and farmer livelihood. In the northwestern plains of India, maize is an important alternative to paddy for crop diversification in the wake of depleting water resources, reduced farm diversity, nutrient mining, and environmental pollution due to paddy straw burning. Owing to its quick growth, high biomass, good palatability, and absence of anti-nutritional components, maize is also one of the most nutritious non-legume green fodders. It is a high-energy, low-protein forage commonly used for dairy animals like cows and buffalos, often in combination with a complementary high-protein forage such as alfalfa. Maize is also preferred for silage over other fodders due to its softness, high starch content, and sufficient soluble sugars required for proper ensiling. With a rapid population increase in developing countries like China and India, there is an upsurge in meat consumption and, hence, the requirement for animal feed, which entails high usage of maize. The global maize silage market is projected to grow at a compound annual growth rate of 7.84% from 2021 to 2030. Factors such as increasing demand for sustainable and environment-friendly food sources coupled with rising health awareness are fueling this growth. With the dairy sector growing at about 4%–5% and the increasing shortage faced for fodder, demand for silage maize is expected to increase worldwide. The progress in improved mechanization for the provision of silage maize, reduced labor demand, lack of moisture-related marketing issues as associated with grain maize, early vacancy of farms for next crops, and easy and economical form of feed to sustain household dairy sector make maize silage a profitable venture. However, sustaining the profitability of this enterprise requires the development of hybrids specific for silage production. Little attention has yet been paid to breeding for a plant ideotype for silage with specific consideration of traits such as dry matter yield, nutrient yield, energy in organic matter, genetic architecture of cell wall components determining their digestibility, stalk standability, maturity span, and losses during ensiling. This review explores the available information on the underlying genetic mechanisms and gene/gene families impacting silage yield and quality. The trade-offs between yield and nutritive value in relation to crop duration are also discussed. Based on available genetic information on inheritance and molecular aspects, breeding strategies are proposed to develop maize ideotypes for silage for the development of sustainable animal husbandry.",Bill & Melinda Gates Foundation (BMGF); United States Agency for International Development (USAID); Foundation for Food & Agriculture Research (FFAR),English,10.3389/fgene.2023.1150132,https://hdl.handle.net/10883/22752,2023,Frontiers in Genetics,Frontiers Media S.A.,,biomass; silage; digestibility; genome-wide association studies; marker-assisted selection; maize; brown mid-rib; genomic selection
Remote sensing hail damage on maize crops in smallholder farms using data acquired by remotely piloted aircraft system,"Sibanda, M.; Ndlovu, H.S.; Brewer, K.; Buthelezi, S.; Trylee N. Matongera; Mutanga, O.; Odidndi, J.; Clulow, A.D.; Chimonyo, V.G.P.; Mabhaudhi, T.","Smallholder farmers reside in marginal environments typified by dryland maize-based farming systems. Despite the significant contribution of smallholder farmers to food production, they are vulnerable to extreme weather events such as hailstorms, floods and drought. Extreme weather events are expected to increase in frequency and intensity under climate change, threatening the sustainability of smallholder farming systems. Access to climate services and information, as well as digital advisories such as Robust spatially explicit monitoring techniques from remotely piloted aircraft systems (RPAS), could be instrumental in understanding the impact and extent of crop damage. It could assist in providing adequate response mechanisms suitable for bolstering crop productivity in a spatially explicit manner. This study, therefore, sought to evaluate the utility of drone-derived multispectral data in estimating crop productivity elements (Equivalent water thickness (EWT), Chlorophyll content, and leaf area index (LAI)) in maize smallholder croplands based on the random forest regression algorithm. A hailstorm occurred in the study area during the reproductive stages 2 to 3 and 3 to 4. EWT, Chlorophyll content, and LAI were measured before and after the storm. Results of this study showed that EWT, Chlorophyll content, and LAI could be optimally estimated based on the red edge and its spectral derivatives. Specifically, EWT was estimated to a rRMEs 2.7% and 59%, RMSEs of 5.31 gm−2 and 27.35 gm-2, R2 of 0.88 and 0.77, while chlorophyll exhibited rRMSE of 28% and 25%, RMSEs of 87.4 µmol m−2 and 76.2 µmol m−2 and R2 of 0.89 and 0.80 and LAI yielded a rRMSE of 10.9% and 15.2%, RMSEs of 0.6 m2/m2 and 0.19 m2/m2 before and after the hail damage, respectively. Overall, the study underscores the potential of RPAS-based remote sensing as a valuable resource for assessing crop damage and responding to the impact of hailstorms on crop productivity in smallholder croplands. This offers a means to enhance agricultural resilience and adaptability under climate change.",,English,10.1016/j.atech.2023.100325,https://hdl.handle.net/10883/22746,2023,Smart Agricultural Technology,Elsevier B.V.,,hail damage; remote sensing; unmanned aerial vehicles; maize; crops; smallholders; small-scale croplands; random forest
Wheat crop traits conferring high yield potential may also improve yield stability under climate change,"Stella, T.; Webber, H.; Rezaei, E.E.; Asseng, S.; Martre, P.; Dueri, S.; Guarin, J.R.; Pequeno, D.N.L.; Calderini, D.; Reynolds, M.P.; Molero, G.; Miralles, D.; Garcia, G.; Slafer, G.; Giunta, F.; Kim, Y.U.; Chenzhi Wang; Ruane, A.C.; Ewert, F.","Increasing genetic wheat yield potential is considered by many as critical to increasing global wheat yields and production, baring major changes in consumption patterns. Climate change challenges breeding by making target environments less predictable, altering regional productivity and potentially increasing yield variability. Here we used a crop simulation model solution in the SIMPLACE framework to explore yield sensitivity to select trait characteristics (radiation use efficiency [RUE], fruiting efficiency and light extinction coefficient) across 34 locations representing the world’s wheat-producing environments, determining their relationship to increasing yields, yield variability and cultivar performance. The magnitude of the yield increase was trait-dependent and differed between irrigated and rainfed environments. RUE had the most prominent marginal effect on yield, which increased by about 45 % and 33 % in irrigated and rainfed sites, respectively, between the minimum and maximum value of the trait. Altered values of light extinction coefficient had the least effect on yield levels. Higher yields from improved traits were generally associated with increased inter-annual yield variability (measured by standard deviation), but the relative yield variability (as coefficient of variation) remained largely unchanged between base and improved genotypes. This was true under both current and future climate scenarios. In this context, our study suggests higher wheat yields from these traits would not increase climate risk for farmers and the adoption of cultivars with these traits would not be associated with increased yield variability.",,English,10.1093/insilicoplants/diad013,https://hdl.handle.net/10883/22741,2023,In Silico Plants,Oxford University Press,,climate change; genetics; yield potential; wheat; climate risk; genetic yield potential; yield variability
