result_id,primary_submitter,level,type,title,description,lead_contact_person,gender_level,climate_change_level,actors,is_krs,krs_link,from_previous_portfolio,legacy_id,contributing_initiatives,non_pooled_projects,primary_center,contributing_centers,toc_results,action_areas,impact_areas,toc_sdgs,partners,countries,regions,linked_results,evidence_1,evidence_2,evidence_3,type_of_output,type_of_science,summary_of_findings_for_generating_keywords_and_themes,themes,sub_themes,abstract
1014,INIT-18,Initiative output,Knowledge product,Local technical agro-climatic committee implementation guide: experiences from Battambang and Kampong Speu provinces in Cambodia,"This implementation was co-produced with the project participants in Cambodia based on their own experience in piloting and implementing the Local Technical Agro-Climatic (LTAC) process, developing the final products, and disseminating the advisories through multiple communication channels to reach the end users or farmers.",NA,(0) Not targeted,(2) Principal,NA,0,NA,No,NA,NA,• Applying seasonal climate forecasting and innovative insurance solutions to climate risk management in agriculture in SE Asia,Bioversity (Alliance),NA,• [INIT-18] 3.2 Business models for DCAS and bundled services,"• Resilient Agrifood Systems
 • Systems Transformation","• Climate Adaptation and Mitigation
 • Environmental Health and Biodiversity
 • Gender Equality, Youth and Social Inclusion
 • Nutrition, Health and Food Security
 • Poverty Reduction, Livelihoods and Jobs","• Goal 1: No Poverty
 • Goal 12: Responsible Consumption and Production
 • Goal 13: Climate Action
 • Goal 2: Zero Hunger
 • Goal 5: Gender Equality
 • Goal 6: Clean Water and Sanitation",NA,Cambodia,Southeast Asia and the Pacific,NA,https://cgspace.cgiar.org/handle/10568/126940,NA,NA,Any other,Methods,Local technical agro-climatic committee implementation guide: experiences from Battambang and Kampong Speu provinces in Cambodia,Other,Climate information services; Needs assessment,"This implementation was co-produced with the project participants in Cambodia based on their own experience in piloting and implementing the Local Technical Agro-Climatic (LTAC) process, developing the final products, and disseminating the advisories through multiple communication channels to reach the end users or farmers."
110,INIT-23,Initiative output,Knowledge product,Towards a Common Vision of Climate Security in Kenya,"The security implications of climate variability and change, commonly referred to as the climate-security nexus, have been widely discussed in both policy circles and academia. While climate is rarely the sole cause of conflict, it can exacerbate conflict risks and outcomes by affecting societies’ economic performance, amplifying patterns of marginalization and exclusion, and challenging the capacity of already strained institutions (von Uexkull & Buhaug, 2021). Because of its significant dependence on rain-fed agriculture, with high seasonal variations in the availability of water and pasture and high levels of political fragility, the Horn of Africa has often been portrayed as one of the regions more likely to suffer from climate-related political instability (Krampe et al., 2020). Kenya, in particular, has been the subject of several studies by research institutes and international organizations that explore whether and how climate change may affect peace and security in the country. While climate impacts will increasingly have destabilizing effects on societies and communities across Kenya, the question of how this is happening remains partially unaddressed. This report presents and summarizes the findings of the first ClimBeR Climate Security Workshop held in Nairobi on the 22nd and 23rd of June 2022.",NA,(1) Significant,(2) Principal,NA,0,NA,No,NA,NA,NA,CIAT (Alliance),"Bioversity (Alliance), IRRI",• [INIT-23] 2.3 Programming 4 Climate Security,• Systems Transformation,"• Climate Adaptation and Mitigation
 • Environmental Health and Biodiversity
 • Gender Equality, Youth and Social Inclusion
 • Nutrition, Health and Food Security
 • Poverty Reduction, Livelihoods and Jobs","• Goal 1: No Poverty
 • Goal 13: Climate Action
 • Goal 15: Life on Land
 • Goal 16: Peace, Justice and Strong Institutions
 • Goal 17: Partnerships for the Goals
 • Goal 2: Zero Hunger
 • Goal 5: Gender Equality","• UG - University of Groningen [Innovation] - Netherlands
 • ZALF - Leibniz Centre for Agricultural Landscape Research [Innovation] - Germany
 • MSDNKOAR - Ministry of State for Development of Northern Kenya and Other Arid Regions (Kenya) [Innovation] - Kenya
 • Ministry of Interior and Coordination of National Government, Kenya [Innovation] - Kenya
 • IGAD - Intergovernmental Authority on Development [Innovation] - Djibouti
 • CHILDFUND - Child Fund [Innovation] - United States of America
 • WFP - World Food Programme [Innovation, Demand, Scaling] - Italy
 • AGNES - African Group of Negotiators Expert Support [Innovation, Demand, Scaling] - Ghana
 • WVI - World Vision International [Demand, Scaling, Innovation] - United Kingdom of Great Britain and Northern Ireland",Kenya,East and Southern Africa,1823,https://cgspace.cgiar.org/handle/10568/125809,NA,NA,Report,Impacts,Towards a Common Vision of Climate Security in Kenya,On climate security,Climate security,"The security implications of climate variability and change, commonly referred to as the climate-security nexus, have been widely discussed in both policy circles and academia. While climate is rarely the sole cause of conflict, it can exacerbate conflict risks and outcomes by affecting societies’ economic performance, amplifying patterns of marginalization and exclusion, and challenging the capacity of already strained institutions (von Uexkull & Buhaug, 2021). Because of its significant dependence on rain-fed agriculture, with high seasonal variations in the availability of water and pasture and high levels of political fragility, the Horn of Africa has often been portrayed as one of the regions more likely to suffer from climate-related political instability (Krampe et al., 2020). Kenya, in particular, has been the subject of several studies by research institutes and international organizations that explore whether and how climate change may affect peace and security in the country. While climate impacts will increasingly have destabilizing effects on societies and communities across Kenya, the question of how this is happening remains partially unaddressed. This report presents and summarizes the findings of the first ClimBeR Climate Security Workshop held in Nairobi on the 22nd and 23rd of June 2022."
113,INIT-32,Initiative output,Knowledge product,Activity data on crop management define uncertainty of CH4 and N2O emission estimates from rice: A case study of Vietnam,"Globally, rice systems are a major source of atmospheric CH4 and for major rice-producing countries, such as Vietnam, CH4 as well as N2O emissions from agricultural land used for rice production may represent about one-fourth of total national anthropogenic greenhouse gas (GHG) emissions. However, national-scale estimates of GHG emissions from rice systems are uncertain with regard to its magnitude, spatial distribution, and seasonality. Our study shows that Tier 3 approaches, that is, process-oriented model approaches combined with GIS databases, for estimating national-scale GHG emissions from rice systems are ready to be applied at national scale. Generally, this approach is powerful as it allows to identify regions with elevated emissions, thereby accounting not only for CH4, but as well for N2O emissions. However, our study also shows that specifically better information on land management is required to narrowing uncertainties.",NA,(0) Not targeted,(2) Principal,NA,0,NA,No,NA,NA,NA,IRRI,NA,• [INIT-32] 2.1  Improved GHG emission estimation model,• Systems Transformation,• Climate Adaptation and Mitigation,• Goal 13: Climate Action,"• KIT - Karlsruhe Institute of Technology [Innovation] - Germany
 • IAE - Institute for Agricultural Environment [Innovation] - The Socialist Republic of Viet Nam
 • AGU - An Giang University [Innovation] - The Socialist Republic of Viet Nam",The Socialist Republic of Viet Nam,Southeast Asia and the Pacific,NA,https://cgspace.cgiar.org/handle/10568/125813,NA,NA,Journal article,Methods,"Activity data on crop management define uncertainty of CH4 and N2O emission estimates from rice: A case study of Vietnam. Our study shows that Tier 3 approaches, that is, process-oriented model approaches combined with GIS databases, for estimating national-scale GHG emissions from rice systems are ready to be applied at national scale. Generally, this approach is powerful as it allows to identify regions with elevated emissions, thereby accounting not only for CH4, but as well for N2O emissions. However, our study also shows that specifically better information on land management is required to narrowing uncertainties.",Measuring emissions,Tier 3 approaches for rice methane and nitrous oxide emissions,"Globally, rice systems are a major source of atmospheric CH4 and for major rice-producing countries, such as Vietnam, CH4 as well as N2O emissions from agricultural land used for rice production may represent about one-fourth of total national anthropogenic greenhouse gas (GHG) emissions. However, national-scale estimates of GHG emissions from rice systems are uncertain with regard to its magnitude, spatial distribution, and seasonality. Our study shows that Tier 3 approaches, that is, process-oriented model approaches combined with GIS databases, for estimating national-scale GHG emissions from rice systems are ready to be applied at national scale. Generally, this approach is powerful as it allows to identify regions with elevated emissions, thereby accounting not only for CH4, but as well for N2O emissions. However, our study also shows that specifically better information on land management is required to narrowing uncertainties."
1131,INIT-30,Initiative output,Innovation development,Extended version of the Global Food System Sustainability Index:  a policy relevant tool that can help decision-makers design policies that are more effective,"The original Global Food System Sustainability Index (GFSSI) considered four dimensions of food system sustainability (food security & nutrition, environment, economic and social dimensions) and covered 97 countries from low, middle and high-income regions. One limitation of this index, however, was that the four dimensions were not equally represented, with both the economic and social dimensions depending on a limited number of indicators. In the 2022 paper, CGIAR researchers from Sustainable Healthy Diets and their co-author built an extended version of the GFSSI by adding several indicators to the two dimensions where the representativity was weak: the social and economic dimensions. They used the extended GFSSI to investigate whether all four dimensions contribute equally to the change observed in the sustainability of food systems across countries, or whether some dimensions are more important than others, and if so, which dimension(s) and for which (group of) countries.",NA,(0) Not targeted,(2) Principal,NA,0,NA,No,NA,NA,NA,CIAT (Alliance),NA,• [INIT-30] (4) Stakeholders improve the design and implementation of the national roadmap towards food systems transformation for sustainable healthy diets.,• Systems Transformation,"• Climate Adaptation and Mitigation
 • Environmental Health and Biodiversity
 • Gender Equality, Youth and Social Inclusion
 • Nutrition, Health and Food Security
 • Poverty Reduction, Livelihoods and Jobs","• Goal 1: No Poverty
 • Goal 10: Reducing Inequalities
 • Goal 12: Responsible Consumption and Production
 • Goal 13: Climate Action
 • Goal 2: Zero Hunger
 • Goal 5: Gender Equality
 • Goal 8: Decent Work and Economic Growth",• JHU - Johns Hopkins University [Innovation] - United States of America,NA,NA,1134,https://cgspace.cgiar.org/handle/10568/120171,NA,NA,Journal article,Impacts,"The projections indicate that for lower income countries, the change is usually more significant than for higher income countries. The analysis also reveals that the different dimensions of sustainability will not all contribute equally to future improvements in food system sustainability. In particular, investments targeting social and food security & nutrition dimensions are projected to have a greater effect on the sustainability of food systems than investment/interventions aiming at the environment or economic domains. For countries located at the lower end of the economic development spectrum, this would imply that, even with limited resources, policy-makers could substantially improve the sustainability of countries’ food systems by prioritizing (sub)national policies and interventions focused on social and food security & nutrition domains.",On human systems,Economic development,"Despite representing a growing element of the international community’s discourse, the sustainability of food systems and the challenge of its empirical measurement are still highly debated. In this paper, we propose to address this gap by computing a global food system sustainability index which we then use in a cross-country analysis covering 94 countries in low-, middle- and high-income regions. The analysis reveals a strong non-linear but positive correlation between the food system sustainability index and countries’ individual GDP per capita. This relationship suggests some possible degree of endogeneity between food system sustainability and economic development. We then use the Shared Socioeconomic Pathways framework and Individual Conditional Expectations modeling techniques to explore how the sustainability of food systems is projected to evolve in the future as countries move up the economic development ladder. The projections indicate that for lower income countries, the change is usually more significant than for higher income countries. The analysis also reveals that the different dimensions of sustainability will not all contribute equally to future improvements in food system sustainability. In particular, investments targeting social and food security & nutrition dimensions are projected to have a greater effect on the sustainability of food systems than investment/interventions aiming at the environment or economic domains. For countries located at the lower end of the economic development spectrum, this would imply that, even with limited resources, policy-makers could substantially improve the sustainability of countries’ food systems by prioritizing (sub)national policies and interventions focused on social and food security & nutrition domains."
1210,INIT-01,Initiative output,Knowledge product,Rice Chalky Grain 5 regulates natural variation for grain quality under heat stress,"Heat stress occurring during rice (Oryza sativa) grain development reduces grain quality, which often manifests as increased grain chalkiness. Although the impact of heat stress on grain yield is well-studied, the genetic basis of rice grain quality under heat stress is less explored as quantifying grain quality is less tractable than grain yield. To address this, we used an image-based colorimetric assay (Red, R; and Green, G) for genome-wide association analysis to identify genetic loci underlying the phenotypic variation in rice grains exposed to heat stress. We found the R to G pixel ratio (RG) derived from mature grain images to be effective in distinguishing chalky grains from translucent grains derived from control (28/24°C) and heat stressed (36/32°C) plants. Our analysis yielded a novel gene, rice Chalky Grain 5 (OsCG5) that regulates natural variation for grain chalkiness under heat stress. OsCG5 encodes a grain-specific, expressed protein of unknown function. Accessions with lower transcript abundance of OsCG5 exhibit higher chalkiness, which correlates with higher RG values under stress. These findings are supported by increased chalkiness of OsCG5 knock-out (KO) mutants relative to wildtype (WT) under heat stress. Grains from plants overexpressing OsCG5 are less chalky than KOs but comparable to WT under heat stress. Compared to WT and OE, KO mutants exhibit greater heat sensitivity for grain size and weight relative to controls. Collectively, these results show that the natural variation at OsCG5 may contribute towards rice grain quality under heat stress.","Hussain, Waseem (IRRI) <waseem.hussain@irri.org>",(1) Significant,(2) Principal,NA,0,NA,No,NA,NA,NA,IRRI,NA,"• [INIT-01] Elite donor lines carrying highly valuable, in-demand traits",• Genetic Innovation,"• Climate Adaptation and Mitigation
 • Environmental Health and Biodiversity
 • Gender Equality, Youth and Social Inclusion
 • Nutrition, Health and Food Security
 • Poverty Reduction, Livelihoods and Jobs","• Goal 1: No Poverty
 • Goal 13: Climate Action
 • Goal 2: Zero Hunger
 • Goal 5: Gender Equality","• UNL - University of Nebraska [Innovation] - United States of America
 • VT - Virginia Tech [Innovation] - United States of America",NA,NA,NA,https://cgspace.cgiar.org/handle/10568/126856,NA,NA,Journal article,Solutions,Rice Chalky Grain 5 regulates natural variation for grain quality under heat stress,Breeding for resilience,Rice: Heat stress,"Heat stress occurring during rice (Oryza sativa) grain development reduces grain quality, which often manifests as increased grain chalkiness. Although the impact of heat stress on grain yield is well-studied, the genetic basis of rice grain quality under heat stress is less explored as quantifying grain quality is less tractable than grain yield. To address this, we used an image-based colorimetric assay (Red, R; and Green, G) for genome-wide association analysis to identify genetic loci underlying the phenotypic variation in rice grains exposed to heat stress. We found the R to G pixel ratio (RG) derived from mature grain images to be effective in distinguishing chalky grains from translucent grains derived from control (28/24°C) and heat stressed (36/32°C) plants. Our analysis yielded a novel gene, rice Chalky Grain 5 (OsCG5) that regulates natural variation for grain chalkiness under heat stress. OsCG5 encodes a grain-specific, expressed protein of unknown function. Accessions with lower transcript abundance of OsCG5 exhibit higher chalkiness, which correlates with higher RG values under stress. These findings are supported by increased chalkiness of OsCG5 knock-out (KO) mutants relative to wildtype (WT) under heat stress. Grains from plants overexpressing OsCG5 are less chalky than KOs but comparable to WT under heat stress. Compared to WT and OE, KO mutants exhibit greater heat sensitivity for grain size and weight relative to controls. Collectively, these results show that the natural variation at OsCG5 may contribute towards rice grain quality under heat stress."
1211,INIT-01,Initiative output,Knowledge product,Response of Southeast Asian rice root architecture and anatomy phenotypes to drought stress,"Drought stress in Southeast Asia greatly affects rice production, and the rice root system plays a substantial role in avoiding drought stress. In this study, we examined the phenotypic and genetic correlations among root anatomical, morphological, and agronomic phenotypes over multiple field seasons. A set of >200 rice accessions from Southeast Asia (a subset of the 3000 Rice Genomes Project) was characterized with the aim to identify root morphological and anatomical phenotypes related to productivity under drought stress. Drought stress resulted in slight increases in the basal metaxylem and stele diameter of nodal roots. Although few direct correlations between root phenotypes and grain yield were identified, biomass was consistently positively correlated with crown root number and negatively correlated with stele diameter. The accessions with highest grain yield were characterized by higher crown root numbers and median metaxylem diameter and smaller stele diameter. Genome-wide association study (GWAS) revealed 162 and 210 significant SNPs associated with root phenotypes in the two seasons which resulted in identification of 59 candidate genes related to root development. The gene OsRSL3 was found in a QTL region for median metaxylem diameter. Four SNPs in OsRSL3 were found that caused amino acid changes and significantly associated with the root phenotype. Based on the haplotype analysis for median metaxylem diameter, the rice accessions studied were classified into five allele combinations in order to identify the most favorable haplotypes. The candidate genes and favorable haplotypes provide information useful for the genetic improvement of root phenotypes under drought stress.","Henry, Amelia (IRRI) <a.henry@irri.org>",(0) Not targeted,(2) Principal,NA,0,NA,No,NA,NA,NA,IRRI,NA,"• [INIT-01] Elite donor lines carrying highly valuable, in-demand traits",• Genetic Innovation,"• Climate Adaptation and Mitigation
 • Environmental Health and Biodiversity
 • Gender Equality, Youth and Social Inclusion
 • Nutrition, Health and Food Security
 • Poverty Reduction, Livelihoods and Jobs","• Goal 1: No Poverty
 • Goal 13: Climate Action
 • Goal 2: Zero Hunger
 • Goal 5: Gender Equality","• Penn State - Pennsylvania State University [Innovation] - United States of America
 • NSTDA - National Science and Technology Development Agency [Innovation] - Thailand",NA,South Asia,NA,https://cgspace.cgiar.org/handle/10568/126855,NA,NA,Journal article,Solutions,Response of Southeast Asian rice root architecture and anatomy phenotypes to drought stress,Breeding for resilience,Rice: Drought tolerant,"Drought stress in Southeast Asia greatly affects rice production, and the rice root system plays a substantial role in avoiding drought stress. In this study, we examined the phenotypic and genetic correlations among root anatomical, morphological, and agronomic phenotypes over multiple field seasons. A set of >200 rice accessions from Southeast Asia (a subset of the 3000 Rice Genomes Project) was characterized with the aim to identify root morphological and anatomical phenotypes related to productivity under drought stress. Drought stress resulted in slight increases in the basal metaxylem and stele diameter of nodal roots. Although few direct correlations between root phenotypes and grain yield were identified, biomass was consistently positively correlated with crown root number and negatively correlated with stele diameter. The accessions with highest grain yield were characterized by higher crown root numbers and median metaxylem diameter and smaller stele diameter. Genome-wide association study (GWAS) revealed 162 and 210 significant SNPs associated with root phenotypes in the two seasons which resulted in identification of 59 candidate genes related to root development. The gene OsRSL3 was found in a QTL region for median metaxylem diameter. Four SNPs in OsRSL3 were found that caused amino acid changes and significantly associated with the root phenotype. Based on the haplotype analysis for median metaxylem diameter, the rice accessions studied were classified into five allele combinations in order to identify the most favorable haplotypes. The candidate genes and favorable haplotypes provide information useful for the genetic improvement of root phenotypes under drought stress."
1218,INIT-01,Initiative output,Knowledge product,Contribution of root system architecture and function in the performance of tropical maize (Zea mays L.) genotypes under different moisture regimes,"Understanding how roots respond to increasing rate of evapotranspiration in warmer days and exposure to dry spells is crucial for saving productivity of rainfed crops, including maize, grown in Asian tropics. In a semi-automatic root phenotyping facility (lysimetric system) a set of 100 elite and diverse tropical maize inbred lines were phenotyped under managed drought stress (DT) and well-watered (WW) conditions. Plants were grown in PVC (Polyvinyl chloride) cylinder of 30.0 cm diameter and 150.0 cm length. In drought experiment, last irrigation was applied based accumulated growing degree days (∑GDD) criteria to achieved reproductive stress DT, whereas optimal moisture was maintained in WW trials. Data recorded on various root structural and function traits in both DT and WW trials. Significant phenotypic variability was observed for various root traits, including both structural and functional traits, under both the moisture regimes. Correlation studies showed that grain yield of early maturity group of genotypes was positively and significantly associated with all the root structural traits under drought, whereas, in case of medium and late maturity group of entries root structural traits showed either weak positive or significant negative correlation with grain yield under drought. Though, root functional traits of all the maturity group of genotypes showed positive and significant correlations with both grain yield and total biomass under both well-watered drought stress. Regression analysis showed that water uptake had significant positive relationship with total biomass in all the three-maturity group of genotypes. However, grain yield seems to be less dependent directly on the total amount of water uptake. We conclude that contribution of various traits in root system architecture under drought or well-watered conditions vary with maturity of genotypes. However, root functional traits, such as water uptake and transpiration efficiency are equally important across maturity groups and water availability regimes.","MADHUMAL THAYIL, Vinayan (CIMMYT-India) <V.MADHUMALTHAYIL@cgiar.org>",(0) Not targeted,(2) Principal,NA,0,NA,No,NA,NA,NA,CIMMYT,NA,"• [INIT-01] Elite donor lines carrying highly valuable, in-demand traits",• Genetic Innovation,"• Climate Adaptation and Mitigation
 • Environmental Health and Biodiversity
 • Gender Equality, Youth and Social Inclusion
 • Nutrition, Health and Food Security
 • Poverty Reduction, Livelihoods and Jobs","• Goal 1: No Poverty
 • Goal 13: Climate Action
 • Goal 2: Zero Hunger
 • Goal 5: Gender Equality",NA,NA,NA,NA,https://cgspace.cgiar.org/handle/10568/126600,NA,NA,Journal article,Solutions,Contribution of root system architecture and function in the performance of tropical maize (Zea mays L.) genotypes under different moisture regimes,Breeding for resilience,Maize: Drought,"Understanding how roots respond to increasing rate of evapotranspiration in warmer days and exposure to dry spells is crucial for saving productivity of rainfed crops, including maize, grown in Asian tropics. In a semi-automatic root phenotyping facility (lysimetric system) a set of 100 elite and diverse tropical maize inbred lines were phenotyped under managed drought stress (DT) and well-watered (WW) conditions. Plants were grown in PVC (Polyvinyl chloride) cylinder of 30.0 cm diameter and 150.0 cm length. In drought experiment, last irrigation was applied based accumulated growing degree days (∑GDD) criteria to achieved reproductive stress DT, whereas optimal moisture was maintained in WW trials. Data recorded on various root structural and function traits in both DT and WW trials. Significant phenotypic variability was observed for various root traits, including both structural and functional traits, under both the moisture regimes. Correlation studies showed that grain yield of early maturity group of genotypes was positively and significantly associated with all the root structural traits under drought, whereas, in case of medium and late maturity group of entries root structural traits showed either weak positive or significant negative correlation with grain yield under drought. Though, root functional traits of all the maturity group of genotypes showed positive and significant correlations with both grain yield and total biomass under both well-watered drought stress. Regression analysis showed that water uptake had significant positive relationship with total biomass in all the three-maturity group of genotypes. However, grain yield seems to be less dependent directly on the total amount of water uptake. We conclude that contribution of various traits in root system architecture under drought or well-watered conditions vary with maturity of genotypes. However, root functional traits, such as water uptake and transpiration efficiency are equally important across maturity groups and water availability regimes."
1227,INIT-18,Initiative output,Knowledge product,How to bridge the climate finance gap and support smallholders in food systems transformation,"Current financing for climate action in food systems is insufficient for the transformation required. This session will focus on the role of climate finance in assisting producers, especially smallholders, and how to engage them in transitioning to low-carbon agriculture while improving livelihoods. Speakers: Lini Wollenberg, Alliance of Bioversity & CIAT, & University of Vermont Ishmael Sunga, Southern African Confederation of Agricultural Unions Alzbeta Klein, International Fertilizer Association Jochen Flasbarth, BMZ. Moderator: Dhanush Dinesh, Clim-Eat Fred Krupp, Environmental Defense Fund",NA,(1) Significant,(2) Principal,NA,0,NA,No,NA,NA,NA,IRRI,"CIMMYT, IWMI, WorldFish",• [INIT-18] 5.2 Climate action plans,"• Resilient Agrifood Systems
 • Systems Transformation","• Climate Adaptation and Mitigation
 • Environmental Health and Biodiversity
 • Gender Equality, Youth and Social Inclusion
 • Nutrition, Health and Food Security
 • Poverty Reduction, Livelihoods and Jobs","• Goal 1: No Poverty
 • Goal 12: Responsible Consumption and Production
 • Goal 13: Climate Action
 • Goal 2: Zero Hunger
 • Goal 5: Gender Equality
 • Goal 6: Clean Water and Sanitation","• SACAU - The Southern African Confederation of Agricultural Unions (SACAU) [Innovation] - South Africa
 • EDF - Environmental Defence Fund [Innovation] - United States of America",NA,NA,NA,https://cgspace.cgiar.org/handle/10568/126960,NA,NA,Video,Solutions,How to bridge the climate finance gap and support smallholders in food systems transformation,Finance,Climate Finance,"Current financing for climate action in food systems is insufficient for the transformation required. This session will focus on the role of climate finance in assisting producers, especially smallholders, and how to engage them in transitioning to low-carbon agriculture while improving livelihoods. Speakers: Lini Wollenberg, Alliance of Bioversity & CIAT, & University of Vermont Ishmael Sunga, Southern African Confederation of Agricultural Unions Alzbeta Klein, International Fertilizer Association Jochen Flasbarth, BMZ. Moderator: Dhanush Dinesh, Clim-Eat Fred Krupp, Environmental Defense Fund"
1232,INIT-18,Initiative output,Knowledge product,Introducing Climate-Smart Mapping and Adaptation Planning in Cambodia,"To provide technical support on participatory climate-risk mapping and adaptation planning, the CGIAR Initiative on Asian Mega-Deltas conducted a training workshop on Climate-Smart Mapping and Adaptation Planning (CS-MAP) for local research partners in Phnom Penh, Cambodia on 19-20 December 2022. The workshop introduced the CS-MAP approach as the tool for conducting the mapping activities in the AMD target provinces in Cambodia, such as Kandal, Takeo, Prey Vieng, and Svay Rieng.",NA,(0) Not targeted,(2) Principal,NA,0,NA,No,NA,NA,NA,IRRI,NA,• [INIT-18] 5.1 Climate vulnerability maps,"• Resilient Agrifood Systems
 • Systems Transformation","• Climate Adaptation and Mitigation
 • Environmental Health and Biodiversity
 • Gender Equality, Youth and Social Inclusion
 • Nutrition, Health and Food Security
 • Poverty Reduction, Livelihoods and Jobs","• Goal 1: No Poverty
 • Goal 12: Responsible Consumption and Production
 • Goal 13: Climate Action
 • Goal 2: Zero Hunger
 • Goal 5: Gender Equality
 • Goal 6: Clean Water and Sanitation",NA,Cambodia,Southeast Asia and the Pacific,NA,https://cgspace.cgiar.org/handle/10568/126961,NA,NA,Report,Methods,Introducing Climate-Smart Mapping and Adaptation Planning in Cambodia,Participatory methods,NA,"To provide technical support on participatory climate-risk mapping and adaptation planning, the CGIAR Initiative on Asian Mega-Deltas conducted a training workshop on Climate-Smart Mapping and Adaptation Planning (CS-MAP) for local research partners in Phnom Penh, Cambodia on 19-20 December 2022. The workshop introduced the CS-MAP approach as the tool for conducting the mapping activities in the AMD target provinces in Cambodia, such as Kandal, Takeo, Prey Vieng, and Svay Rieng."
1238,INIT-28,Initiative output,Knowledge product,"Assessment of soil salinity changes under the climate change in the Khorezm Region, Uzbekistan","Soil salinity negatively affects plant growth and leads to soil degradation. Saline lands result in low agricultural productivity, affecting the well-being of farmers and the economic situation in the region. The prediction of soil salinization dynamics plays a crucial role in sustainable development of agricultural regions, in preserving the ecosystems, and in improving irrigation management practices. Accurate information through monitoring and evaluating the changes in soil salinity is essential for the development of strategies for agriculture productivity and efficient soil management. As part of an ex-ante analysis, we presented a comprehensive statistical framework for predicting soil salinity dynamics using the Homogeneity test and linear regression model. The framework was operationalized in the context of the Khorezm region of Uzbekistan, which suffers from high levels of soil salinity. The soil salinity trends and levels were projected under the impact of climate change from 2021 to 2050 and 2051 to 2100. The results show that the slightly saline soils would generally decrease (from 55.4% in 2050 to 52.4% by 2100 based on the homogeneity test; from 55.9% in 2050 to 54.5% by 2100 according to the linear regression model), but moderately saline soils would increase (from 31.2% in 2050 to 32.5% by 2100 based on the homogeneity test; from 31.2% in 2050 to 32.4% by 2100 according to the linear regression model). Moreover, highly saline soils would increase (from 13.4% in 2050 to 15.1% by 2100 based on the homogeneity test; from 12.9% in 2050 to 13.1% by 2100 according to the linear regression model). The results of this study provide an understanding that soil salinity depends on climate change and help the government to better plan future management strategies for the region.",Kakhramon Djumaboev,(0) Not targeted,(2) Principal,NA,0,NA,No,NA,NA,• Ecological Oriented Regional Development of the Aral Sea Region,IWMI,NA,• [INIT-28] 1.2 Trade-off and foresight methodologies developed for WEFE Impact Assessments,• Systems Transformation,"• Climate Adaptation and Mitigation
 • Environmental Health and Biodiversity
 • Gender Equality, Youth and Social Inclusion
 • Nutrition, Health and Food Security
 • Poverty Reduction, Livelihoods and Jobs","• Goal 1: No Poverty
 • Goal 12: Responsible Consumption and Production
 • Goal 13: Climate Action
 • Goal 15: Life on Land
 • Goal 16: Peace, Justice and Strong Institutions
 • Goal 17: Partnerships for the Goals
 • Goal 2: Zero Hunger
 • Goal 3: Good Health and Well-Being for People
 • Goal 4: Quality Education
 • Goal 5: Gender Equality
 • Goal 6: Clean Water and Sanitation
 • Goal 7: Affordable and Clean Energy
 • Goal 8: Decent Work and Economic Growth","• ÇU - Çukurova University [Innovation] - Türkiye
 • TIIAME - Tashkent Institute of Irrigation and Agricultural Mechanization Engineers [Innovation] - Uzbekistan
 • ZALF - Leibniz Centre for Agricultural Landscape Research [Innovation] - Germany",Uzbekistan,Central and West Asia and North Africa,NA,https://cgspace.cgiar.org/handle/10568/120372,NA,NA,Journal article,Impacts,"Assessment of soil salinity changes under the climate change in the Khorezm Region, Uzbekistan",On natural systems,Soils (Salinity),"Soil salinity negatively affects plant growth and leads to soil degradation. Saline lands result in low agricultural productivity, affecting the well-being of farmers and the economic situation in the region. The prediction of soil salinization dynamics plays a crucial role in sustainable development of agricultural regions, in preserving the ecosystems, and in improving irrigation management practices. Accurate information through monitoring and evaluating the changes in soil salinity is essential for the development of strategies for agriculture productivity and efficient soil management. As part of an ex-ante analysis, we presented a comprehensive statistical framework for predicting soil salinity dynamics using the Homogeneity test and linear regression model. The framework was operationalized in the context of the Khorezm region of Uzbekistan, which suffers from high levels of soil salinity. The soil salinity trends and levels were projected under the impact of climate change from 2021 to 2050 and 2051 to 2100. The results show that the slightly saline soils would generally decrease (from 55.4% in 2050 to 52.4% by 2100 based on the homogeneity test; from 55.9% in 2050 to 54.5% by 2100 according to the linear regression model), but moderately saline soils would increase (from 31.2% in 2050 to 32.5% by 2100 based on the homogeneity test; from 31.2% in 2050 to 32.4% by 2100 according to the linear regression model). Moreover, highly saline soils would increase (from 13.4% in 2050 to 15.1% by 2100 based on the homogeneity test; from 12.9% in 2050 to 13.1% by 2100 according to the linear regression model). The results of this study provide an understanding that soil salinity depends on climate change and help the government to better plan future management strategies for the region."
