Title,Authors,Author affiliations,Abstract,DOI,Repository link,Publication date,Journal,ISSN,Publisher,Volume,Issue,Subjects,Funders,Pages
Scenarios of sustainable fodder production in the conflict-affected Kerio Valley of Kenya,"Mutinda, R; Kimurto, P; Hauser, M",ICRISAT(Nairobi); Egerton University(Njoro); University of Natural Resources and Life Sciences(Vienna),"Communities that keep livestock depend on forages. Understanding the potential futures of livestock forages in regions affected by climate change and resource conflict is critical for climate security and peace. However, often there is limited data on future fodder developments and their drivers. This article presents the results of a scenario development process to identify livestock forage options against conflict scenarios in the Kerio Valley in Kenya. The Valley is of interest because of ongoing communal conflicts, whereby one of the triggers is disputes over pasture during drought emergencies. Given the absence of data, we underwent a participatory scenario development process to co-design fodder futures with representatives of warring communities, market players, the local administration and researchers from Egerton University who worked in the region to mitigate drought risks in the area. Through this process, the representatives developed six strategic fodder scenarios and examined them against four likely stability contexts. The findings from the scenario workshops identify strategies to support the most promising scenarios. Kerio Valley actors could adopt those fodder scenarios that mitigate the risk of resource conflicts, especially in preparation for reoccurring droughts emergencies. Finally, our research suggests that where conflict parties jointly search for fodder solutions, scenario planning could contribute to peace-building.",10.1016/j.futures.2023.103317,http://oar.icrisat.org/id/eprint/12697,2023-12-30,Futures,0016-3287,Elsevier,156,,livestock; fodder; kenya; forages,,
Enhancing climate change resilience in agricultural crops,"Benitez-Alfonso, Y; Soanes, B K; Zimba, S; Sinanaj, B; German, L; Sharma, V; Bohra, A; Kolesnikova, A; Dunn, J A; Martin, A C; Rahman, M K; Saati-Santamaria, Z; Garcia-Fraile, P; Ferreira, E A; Frazao, L A; Cowling, W A; Siddique, K H M; Pandey, M K; Farooq, M; Varshney, R K; Chapman, M A; Boesch, C; Daszkowska-Golec, A; Foyer, C H",University of Leeds(Leeds); Lilongwe University of Agriculture and Natural Resources(Lilongwe); University of Sheffield(Sheffield); Murdoch University(Murdoch); University of Southampton(Southampton); Institute for Sustainable Agriculture(Cordoba); Universidad de Salamanca(Salamanca); University of Salamanca(Villamayor de la Armuna); Institute of Microbiology of the Czech Academy of Sciences(Prague); Federal University of Minas Gerais(Minas Gerais); University of Western Australia(Perth); Sultan Qaboos University(Al-Khoud); University of Silesia in Katowice(Katowice); University of Birmingham(Birmingham),"Climate change threatens global food and nutritional security through negative effects on crop growth and
agricultural productivity. Many countries have adopted ambitious climate change mitigation and adaptation targets that will exacerbate the problem, as they require significant changes in current agri-food systems. In this review, we provide a roadmap for improved crop production that encompasses the effective transfer of current knowledge into plant breeding and crop management strategies that will underpin sustainable agriculture intensification and climate resilience. We identify the main problem areas and highlight outstanding questions and potential solutions that can be applied to mitigate the impacts of climate change on crop
growth and productivity. Although translation of scientific advances into crop production lags far behind current scientific knowledge and technology, we consider that a holistic approach, combining disciplines in collaborative efforts, can drive better connections between research, policy, and the needs of society.",10.1016/j.cub.2023.10.028,http://oar.icrisat.org/id/eprint/12470,2023-12-04,Current Biology,1879-0445,Elsevier Inc.,33,,climate change; agricultural crops; nutritional security; food security,,R1246-R1261
Enabling gender and social inclusion in climate and agriculture policy and planning through foresight processes: assessing challenges and leverage points,"Marty, E; Segnon, A C; Tui, S H; Trautman, S; Huyer, S; Cramer, L; Mapedza, E",ILRI(Nairobi); Norwegian University of Life Sciences(Norway); CIAT(Dakar); University of Abomey-Calavi(Cotonou); ICRISAT(Malawi); CIAT(Lilongwe); Independent Consultant(Nairobi),"Scenario-guided foresight processes are increasingly used to engage a broad range of stakeholders in sharing knowledge, reflecting, and setting priorities to respond to present and future climate change related dynamics. They are particularly useful to inform agricultural policies and planning in the face of a changing climate. Such participatory approaches are key to integrating multidisciplinary expertise, perspectives, and viewpoints, and ensuring that the multi-faceted vulnerabilities and the development needs of diverse groups are addressed in the design, planning, and implementation of climate adaptation policy. However, in practice, ensuring meaningful participation in the policy process is far from straightforward. In this paper, we examine the integration of gender and social inclusion considerations in 15 scenario-guided foresight use cases across Africa, Latin America, and Southeast Asia to determine the ways in which gender and social inclusion dynamics were considered and integrated at different stages of scenario-guided planning processes. To inform the analysis, we use qualitative data from key informant interviews, interviewing scenario coordinators and a gender and social inclusion expert who was engaged in one of the cases; we also review associated reports and outputs. The results suggest that few scenario-guided planning processes centred gender and social inclusion considerations from an early stage and consistently throughout the interventions, translating often into low diversity of stakeholders and insufficient depth reached in the content produced. A number of common challenges are reported including time, budget, and human resource constraints, as well as existing power and institutional dynamics. The latter includes, for instance, low women’s representation in technical organizations or important hierarchical social norms structuring discussions. While the focus on the future can disrupt established modes of doing, the complexity of foresight methods can also undermine effective participation leading to important trade-offs. Innovations in the modes of engagement and parallel processes with diverse groups can be important leverage points for inclusion within policymaking processes.

Key policy insights
Gender and social inclusion should be prioritized from the onset and integrated at different stages of scenario-guided planning processes, notably by allocating more time, human, and financial resources to ensure inclusiveness.

Parallel consultations among diverse organizations and groups can provide effective spaces for often-sidelined or marginalized groups’ interests and needs to be integrated into policy decision-making given the existing power structures that regulate access to many workshops and related discussions. Multi-scale engagements with different networks also help deepen understanding and reconcile gaps across scales of decision-making (e.g. from local level to national level).

Practitioners should further their use of foresight processes and development of tools and methods for integrating gender and social inclusion in these as part of the policy process, as well as strengthen the capacities, expertise, and role of conveners.

Promotion and dissemination of existing gender and social inclusion research and documentation as well as support for learning and reflection to refine identified leverage points can lead to improved success.",10.1080/14693062.2023.2268042,http://oar.icrisat.org/id/eprint/12523,2023-11-17,Climate Policy,1752-7457,Taylor & Francis Group,,,foresight; climate change; gender; social inclusion; stakeholder engagement; scenario planning,,1-16
Advances and opportunities in unraveling cold-tolerance mechanisms in the world’s primary staple food crops,"Jan, S; Rustgi, S; Barmukh, R; Shikari, A B; Leske, B; Bekuma, A; Sharma, D; Ma, W; Kumar, U; Bohra, A; Varshney, R K; Mir, R R",SKUAST-Kashmir(Sopore Kashmir); Clemson University(South Carolina); ICRISAT(Patancheru); Department of Primary Industries and Regional Development(South Perth); Murdoch University(Murdoch); Qingdao Agriculture University(Qingdao); Mahatma Jyotiba Phule Rohilkhand University(Uttar Pradesh); Borlaug Institute for South Asia(Punjab),"Temperatures below or above optimal growth conditions are among the major stressors affecting productivity, end-use quality, and distribution of key staple crops including rice (Oryza sativa), wheat (Triticum aestivum), and maize (Zea mays L.). Among temperature stresses, cold stress induces cellular changes that cause oxidative stress and slowdown metabolism, limit growth, and ultimately reduce crop productivity. Perception of cold stress by plant cells leads to the activation of cold-responsive transcription factors and downstream genes, which ultimately impart cold tolerance. The response triggered in crops to cold stress includes gene expression/suppression, the accumulation of sugars upon chilling, and signaling molecules, among others. Much of the information on the effects of cold stress on perception, signal transduction, gene expression, and plant metabolism are available in the model plant Arabidopsis but somewhat lacking in major crops. Hence, a complete understanding of the molecular mechanisms by which staple crops respond to cold stress remain largely unknown. Here, we make an effort to elaborate on the molecular mechanisms employed in response to low-temperature stress. We summarize the effects of cold stress on the growth and development of these crops, the mechanism of cold perception, and the role of various sensors and transducers in cold signaling. We discuss the progress in cold tolerance research at the genome, transcriptome, proteome, and metabolome levels and highlight how these findings provide opportunities for designing cold-tolerant crops for the future.",10.1002/tpg2.20402,http://oar.icrisat.org/id/eprint/12524,2023-11-13,The Plant Genome,1940-3372,Wiley Periodicals LLC on behalf of Crop Science Society of America,,,rice; wheat; maize; temperature stresses; cold stress; oxidative stress; slowdown metabolism; limit growth; crop productivity; climate change,,1-23
Characterization of Barley Genotypes and Their Biochemical Responses against Leaf Rust (Puccinia hordei) Disease under Cold Arid Environment,"Hussain, B; Mohiddin, M A; Wani, S H; Murtaza, I; Ahmad, S; Mohammed, R; Rehman, M; Rana, A; Al-ashkar, I; Rahman, M A; Ditta, A; Sabagh, A E",Sher-e-Kashmir University of Agricultural Sciences of Technology of Kashmir(Jammu and Kashmir); ICRISAT(Bamako); Madhav University(Rajasthan); King Saud University(Riyadh); National Institute of Animal Science(Cheonan); Shaheed Benazir Bhutto University Sheringal(Khyber Pakhtunkhwa); The University of Western Australia(Perth); Kafrelsheikh University(Kafr El-Shaikh),"Cereal rust is one of the most damaging diseases of small-grain cereals. The fungus Puccinia hordei causes leaf rust in barley and other small grain crops. Puccinia hordei causes serious yield losses in the cultivating areas where susceptible and late-maturing barley varieties are cultivated. Therefore, rust-resistant barley cultivar is highly demandable for sustainable small-grain crop production. Improving barley yields and quality is one of the major objectives of barley breeding programs in our country. Exotic and indigenous germplasm is one of the best sources of resistance to biotic stresses in barley particularly leaf rust caused by Puccinia hordei. Hence, the present investigation was carried out to identify the resistance sources to P. hordei and incorporate them into the breeding programs for higher barley yields under changing climatic scenarios. The study aimed to identify new resistant cultivars in barley and other small grain crops. In this study, 100 barley genotypes (Hordeum vulgare L.) were considered for screening susceptibility to P. hordei causing rust disease. Several biochemical responses were analyzed in P. hordei infected barley genotypes. However, the variable response was observed among the 100 barley genotypes while those were screened against leaf rust disease under high altitude cold arid conditions of Ladakh, India. The efficiency of the 100 barley genotypes were categorized into different classes including high resistance (4 genotypes)>resistance (14 genotypes)> moderately resistance (20 genotypes)> moderately susceptible (33 genotypes)>moderately susceptible to susceptible (19 genotypes)> and susceptible (10 genotypes) based on plant response to P. hordei. Among the total genotypes, SHEIKH/KP-706, SHEIKH-B1, SHEIKH-636, and IC-062190 showed high resistance (8.07-8.63) as per the international leaf rust scale, while EC-667381, EC-667390, EC-667392, EC667396, EC-667417, Jyoti, EC-667434, EC-667442, EC-667445, and EC-667446 were found as susceptible (3.13-3.97) to P. hordei. The highly resistant genotypes accumulated a high level of phenols and flavonoids and cooperated with susceptible and other rest of the genotypes in response to P. hordei rust. The efficiency of plant immune response and or fitness to P. hordei was correlated to the disease susceptibility index of particular genotypes. This provides a new insight and the mechanistic basis of genotype-specific rust disease susceptibility against P. hordei. A large number of genotype-based studies at the field level could be useful to plant breeders and farmers for improving rust resistance in barley and other small-grain cereals.",10.15244/pjoes/170775,http://oar.icrisat.org/id/eprint/12742,2023-11-03,Polish Journal of Environmental Studies,2083-5906,HARD Publishing Company,33,1,leaf rust; genotype; climate change; biotic stress; disease susceptibility,,185-195
Crop models for assessing impact and adaptation options under climate change,"Singh, P",ICRISAT(Patancheru),"Increased amount of greenhouse gases (GHG) in the atmosphere will cause climate change that will adversely impact crop production especially in the arid and semi-arid regions of the developing countries. Development and implementation of field level adaptations measures to cope up with  climate  change  are  necessary  to  the  farmers  whose  livelihood  depends  on  crop-based  income.  Crop  simulation  models  that  incorporate  soil-crop-climate processes of plant growth and that are sensitive to climate change factors can be used to quantify impact of climate change on crop production and evaluating and prioritizing adaptation measures at farm level. This paper analyses the impacts of climate change and plau-sible agronomic, land and water management and genetic adaptations options for the major crops of the semi-arid tropical region with examples from selected sites in India and other developing countries. The crop models need to be linked to the improved pest, disease and weed models to analyze and predict yield losses, especially those due to climate change. The simulation models also need to incorporate the impact of extreme weather events on crop production that is projected to increase with climate change.",10.54386/jam.v25i1.1969,http://oar.icrisat.org/id/eprint/12252,2023-10-17,Journal of Agrometeorology,2583-2980,Association of Agrometeorologists,25,1,models as decision making tools; variability in climate change; impact on crops; adaptation strategies; sustainability; climate change,,18-33
Navigating the landscape of global sustainable livelihood research: past insights and future trajectory,"Li, T; Singh, R K; Cui, L; Xu, Z; Liu, H; Fava, F; Kumar, S; Song, X; Tang, L; Wang, Y; Hao, Y",University of Chinese Academy of Sciences(Beijing); Griffith University(Brisbane); Central Agricultural University(Arunachal Pradesh); ICAR-Central Soil Salinity Research Institute(Karnal); Università Degli Studi Di Milano(Milano); ICRISAT(Patancheru),"Sustainable livelihoods (SL) have emerged as a crucial area of focus in global environmental change research, aligning with the Sustainable Development Goals (SDGs). This field is rapidly gaining prominence in sustainability science and has become one of the primary research paradigms. In our study, we conducted scientometrics analysis using the ISI Web of Science core collection database to examine research patterns and frontier areas in SL research. We selected 6441 papers and 265,759 references related to SL published from 1991 to 2020. To achieve this, we employed advanced quantitative analysis tools such as CiteSpace and VOSviewer to quantitatively analyze and visualize the evolution of literature in the SL research field. Our overarching objectives were to understand historical research characteristics, identify the knowledge base, and determine future research trends. The results revealed an exponential increase in SL research documentation since 1991, with the Consortium of International Agricultural Research Center (CGIAR) contributing the highest volume of research documents and citations. Key journals in this field included World Development, Global Environmental Change, Ecological Economics, and Ecology and Society. Notably, Singh RK and Shackleton CM emerged as prolific authors in SL research. Through our analysis, we identified six primary clusters of research areas: livelihoods, conservation, food security, management, climate change, and ecosystem services. Additionally, we found that tags such as rural household, agricultural intensification, cultural intensification, and livelihoods vulnerability remained relevant and represented active research hotspots. By analyzing keyword score relevance, we identified frontier areas in SL research, including mass tourism, solar home systems, artisanal and small-scale mining, forest quality, marine-protected areas, agricultural sustainability, sustainable rangeland management, and indigenous knowledge. These findings provide valuable insights to stakeholders regarding the historical, current, and future trends in SL research, offering strategic opportunities to enhance the sustainability of livelihoods for farmers and rural communities in alignment with the SDGs.",10.1007/s11356-023-29567-6,http://oar.icrisat.org/id/eprint/12392,2023-09-09,Environmental Science and Pollution Research,1614-7499,Springer,30,,frontiers of livelihoods; environment management; principal component analysis; visualization; farmers and rural communities,,103291-103312
Combatting drought: a multi-dimensional challenge,"Vadez, V; Messina, C D; Carminati, A",University of Montpellier(Montpellier); ICRISAT(Patancheru); CERAAS(Thiès); University of Florida(Gainesville); ETH Zurich(Zurich),"Water will be a major limitation to food production in
the 21st century, and drought issues already prevail in
many parts of the world. Finding solutions to ensure that
farmers harvest profitable crops, and secure food supplies for families and feed for animals that will provide for
them through to the next season are urgent necessities.
The Interdrought community has been addressing this
issue for almost 30 years in a series of international conferences, characterized by a multi-disciplinary approach
across the domains of molecular biology, physiology, genetics, agronomy, breeding, environmental and social sciences, policy, and systems modeling. This special issue
presents papers from the 7th edition of the conference,
the first to be held in Africa, that paid special attention
to drought in a smallholder context, adding a ‘system’ dimension to the crop focus from the previous Interdrought
events (Varshney et al., 2018; Hammer et al., 2021).",10.1093/jxb/erad301,http://oar.icrisat.org/id/eprint/12501,2023-09-02,Journal of Experimental Botany,1460-2431,Oxford University Press,74,16,agriculture risks; climate change; climatic variability; drought adaptive traits; water use efficiency,,4765-4769
Data-driven approaches to improve water-use efficiency and drought resistance in crop plants,"Sharma, N; Raman, H; Wheeler, D; Kalenahalli, Y; Sharma, R",Orange Agricultural Institute(Orange); Wagga Wagga Agricultural Institute(Wagga Wagga); ICRISAT(Patancheru); BITS Pilani(Rajasthan),"With the increasing population, there lies a pressing demand for food, feed and fibre, while the changing climatic conditions pose severe challenges for agricultural production worldwide. Water is the lifeline for crop production; thus, enhancing crop water-use efficiency (WUE) and improving drought resistance in crop varieties are crucial for overcoming these challenges. Genetically-driven improvements in yield, WUE and drought tolerance traits can buffer the worst effects of climate change on crop production in dry areas. While traditional crop breeding approaches have delivered impressive results in increasing yield, the methods remain time-consuming and are often limited by the existing allelic variation present in the germplasm. Significant advances in breeding and high-throughput omics technologies in parallel with smart agriculture practices have created avenues to dramatically speed up the process of trait improvement by leveraging the vast volumes of genomic and phenotypic data. For example, individual genome and pan-genome assemblies, along with transcriptomic, metabolomic and proteomic data from germplasm collections, characterised at phenotypic levels, could be utilised to identify marker-trait associations and superior haplotypes for crop genetic improvement. In addition, these omics approaches enable the identification of genes involved in pathways leading to the expression of a trait, thereby providing an understanding of the genetic, physiological and biochemical basis of trait variation. These data-driven gene discoveries and validation approaches are essential for crop improvement pipelines, including genomic breeding, speed breeding and gene editing. Herein, we provide an overview of prospects presented using big data-driven approaches (including artificial intelligence and machine learning) to harness new genetic gains for breeding programs and develop drought-tolerant crop varieties with favourable WUE and high-yield potential traits.",10.1016/j.plantsci.2023.111852,http://oar.icrisat.org/id/eprint/12304,2023-09-01,Plant Science (TSI),0168-9452,Elsevier,336,,data-driven approaches; water-use efficiency; drought resistance; plants,,
Functional groups and mineralization kinetics of soil organic matter under contrasting hydro-thermal regimes under conservation agriculture-based rice–wheat system in eastern Indo-Gangetic Plains,"Dey, A; Dwivedi, B S; Bhattacharyya, R; Datta, S P; Meena, M C; Jat, R K; Jat, M L; Sarkar, D J; Kumar, R","Indian Agricultural Research Institute (New Delhi); Indian Institute of Soil Science (Bhopal); Borlaug Institute for South Asia, CIMMYT (Samastipur)","Soil organic carbon (SOC) sequestration is important to counteract anthropogenic climate change at the global level. Studying the effect of conservation agriculture (CA) on SOC dynamics in the presence of two distinctively different
hydro-thermal regimes across the year in rice–wheat (RW) systems in eastern Indo-Gangetic Plains (E-IGP) is of topical interest. The stabilization mechanism of soil organic matter (SOM), and its effect on C mineralization kinetics in these conditions is not well understood. We collected soil samples from six combinations of CA and conventional farming in an ongoing experiment at CIMMYT-Borlaug Institute for South Asia, Bihar, India. CA enhanced SOC, specifically labile C, while decreasing mineral N, as a result of encapsulation/assimilation in aggregates/microbial biomass. Humic acids registered characteristic Fourier
transform infrared (FTIR) peaks at 3200–3600 cm−1, 2920–2930
cm−1, 1645–1655 cm−1 and 1220–1240 cm−1, and displayed lesser degree of humification, aromaticity and redox status under CA. SOC and N mineralization were studied in two different hydro-thermal regimes pertaining to rice (submergence, 35°C; SM35) and wheat (field capacity, 25°C; FC25) growing periods of E-IGP. SM35 displayed temperature-mediated higher decay of SOC. Decay constants of C
mineralization were lesser under CA compared with CT. CA promoted higher SOM stability, evidenced by lower decay rates of SOC and N, attributed to (1) better protection of SOM in well-aggregated soil structure and (2) an excess supply of fresh crop residues ensuring higher rate of SOM formation than its decay. Practising CA in E-IGP is imperative towards C-neutral agriculture, especially in
the impending global warming scenario.",10.1111/sum.12962,http://oar.icrisat.org/id/eprint/12180,2023-08-23,Soil Use and Management (TSI),1475-2743,British Society of Soil Science,,,crop residue retention; decay constant; humic acid; labile carbon; mineral nitrogen; particulate organic matter; zero tillage,,01-15
