Title,Authors,Abstract,Funder,Language,DOI,Access rights,Usage rights,Repository link,Publication date,Journal,ISSN,Publisher,Pages,Subjects,Type
A decentralized approach to model national and global food and land use systems,"Mosnier, Aline; Javalera-Rincon, Valeria; Jones, Sarah K.; Andrew, Robbie; Bai, Zhaohai; Baker, Justin; Basnet, Shyam; Singh, Vartika","The achievement of several sustainable development goals and the Paris Climate Agreement depends on rapid progress towards sustainable food and land systems in all countries. We have built a flexible, collaborative modeling framework to foster the development of national pathways by local research teams and their integration up to global scale. Local researchers independently customize national models to explore mid-century pathways of the food and land use system transformation in collaboration with stakeholders. An online platform connects the national models, iteratively balances global exports and imports, and aggregates results to the global level. Our results show that actions toward greater sustainability in countries could sum up to 1 Mha net forest gain per year, 950 Mha net gain in the land where natural processes predominate, and an increased CO2 sink of 3.7 GtCO2e yr−1 over the period 2020–2050 compared to current trends, while average food consumption per capita remains above the adequate food requirements in all countries. We show examples of how the global linkage impacts national results and how different assumptions in national pathways impact global results. This modeling setup acknowledges the broad heterogeneity of socio-ecological contexts and the fact that people who live in these different contexts should be empowered to design the future they want. But it also demonstrates to local decision-makers the interconnectedness of our food and land use system and the urgent need for more collaboration to converge local and global priorities.",Norway's International Climate and Forest Initiative; MAVA Foundation; Gordon and Betty Moore Foundation,English,10.1088/1748-9326/acc044,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/8644,2023,Environmental Research Letters,1748-9326,IOP Publishing Ltd.,Environmental Research Letters 18(4): 045001,agriculture; climate change; sustainable agriculture; food systems; global warming; greenhouse gases; land; research methods; socioeconomic development; stakeholders; sustainable development goals,Journal article
A dynamic general equilibrium analysis of adaptation to climate change in Ethiopia,"Robinson, Sherman; Willenbockel, Dirk; Strzepek, Kenneth",,,English,10.1111/j.1467-9361.2012.00676.x,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/3652,2012,Review of Development Economics,,,Review of Development Economics 16(3): 489-502,climate change; developing countries; economic development; general equilibrium; general equilibrium model,Journal article
A European science plan to sustainably increase food security under climate change,"Soussana, Jean-François; Fereres, Elias; Long, Stephen P.; Mohren, Frits G.M.J.; Pandya-Lorch, Rajul; Peltonen-Sainio, Pirjo; Porter, John R.; Rosswall, Thomas; von Braun, Joachim",,,English,10.1111/j.1365-2486.2012.02746.x,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/3747,2012,Global Change Biology,,,Global Change Biology 18(11): 3269-3271,agriculture; food systems; food security; climate change; nutrition,Journal article
A knowledge brokering framework for integrated landscape management,"McGonigle, Daniel F.; Rota Nodari, Giulia; Phillips, Robyn L.; Aynekulu, Ermias; Estrada-Carmona, Natalia; Zhang, Wei","Sustainable land management is at the heart of some of the most intractable challenges facing humanity in the 21st century. It is critical for tackling biodiversity loss, land degradation, climate change and the decline of ecosystem services. It underpins food production, livelihoods, dietary health, social equity, climate change adaptation, and many other outcomes. However, interdependencies, trade-offs, time lags, and non-linear responses make it difficult to predict the combined effects of land management decisions. Policy decisions also have to be made in the context of conflicting interests, values and power dynamics of those living on the land and those affected by the consequences of land use decisions. This makes designing and coordinating effective land management policies and programmes highly challenging. The difficulty is exacerbated by the scarcity of reliable data on the impacts of land management on the environment and livelihoods. This poses a challenge for policymakers and practitioners in governments, development banks, non-governmental organisations, and other institutions. It also sets demands for researchers, who are under ever increasing pressure from funders to demonstrate uptake and impact of their work. Relatively few research methods exist that can address such questions in a holistic way. Decision makers and researchers need to work together to help untangle, contextualise and interpret fragmented evidence through systems approaches to make decisions in spite of uncertainty. Individuals and institutions acting as knowledge brokers can support these interactions by facilitating the co-creation and use of scientific and other knowledge. Given the patchy nature of data and evidence, particularly in developing countries, it is important to draw on the full range of available models, tools and evidence. In this paper we review the use of evidence to inform multiple-objective integrated landscape management policies and programmes, focusing on how to simultaneously achieve different sustainable development objectives in diverse landscapes. We set out key success factors for evidence-based decision-making, which are summarised into 10 key principles for integrated landscape management knowledge brokering in integrated landscape management and 12 key skills for knowledge brokers. We finally propose a decision-support framework to organise evidence that can be used to tackle different types of land management policy decision.",UK Biotechnology and Biological Sciences Research Council,English,10.3389/fsufs.2020.00013,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7123,2020,Frontiers in Sustainable Food Systems,2571-581X,,Frontiers in Sustainable Food Systems 4:13,landscape conservation; water; decision making; knowledge; climate change; ecosystems; integrated land management; policies; knowledge brokering framework; landscape-scale policy,Journal article
A long-term perspective on a modern drought in the American Southeast,"Pederson, Niel; Bell, Andrew; Knight, T.A.; Leland, C.; Malcomb, N.; Achukaitis, K.J.; Tackett, K.; Scheff, J.; Brice, A.; Catron, B.; Blozan, W.; Riddle, J.",,,English,10.1088/1748-9326/7/1/014034,Open Access,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/3841,2012,Environmental Research Letters,,,Environmental Research Letters 7(1): 014034,water supply; water conflict; paleohydroclimate; tree-ring analysis; climate change,Journal article
A novel seasonal-spatial integrated model for improving the economic-environmental performance of crop production,"Li, Man; Guo, Zhe; Zhang, Wei","Excess agricultural nitrogen, mainly from manure and chemical fertilizers, is a primary source of nutrient pollution and presents serious environmental threats to natural ecosystems and human health. Improvements in nitrogen-use efficiency in crop production are critical for addressing the triple challenge of food insecurity, environmental degradation, and climate change. Approaches such as sustainable intensification that stress technological innovations have received the most attention. But science-based cropland use planning, a promising complementary approach, has so far been largely overlooked. Here we develop a spatially integrated economic-ecological modeling method to assess this previously unexplored potential for improving the economic-environmental performance of crop production by examining the seasonal and spatial implications of cropland and fertilizer use in Bangladesh. In doing so, we aim to make the modeling method accessible to researchers and practitioners interested in achieving the dual goal of food production and environmental sustainability for countries that are characterized by seasonal and spatial variations in crop mix and cropping practices.",National Aeronautics and Space Administration; George Mason University; Utah State University; U.S. Department of Agriculture,English,10.1016/j.mex.2022.101906,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/8435,2022,MethodsX,2215-0161,Elsevier,MethodsX 9(2022): 101906,agriculture; nitrogen; organic fertilizers; chemical fertilizer; pollution; environment; ecosystems; human health; crop production; food insecurity; environmental degradation; climate change; sustainable intensification; technological innovation; modeling,Journal article
A research vision for food systems in the 2020s: Defying the status quo,"Fanzo, Jessica; Covic, Namukolo M.; Dobermann, Achim; Henson, Spencer; Herrero, Mario; Pingali, Prabhu; Staal, Steve","Research and science should not only inform food and environmental policy but should be adopted and mainstreamed into actions at all levels. Food systems are faced with grander and interconnected challenges and constraints that bring about new research questions. Research has a vital role in charting a positive and sustainable direction for global food security, nutrition, and health. The status quo must be challenged to shape food systems transformation to deliver sustainable, healthier diets. Global Food Security provides a platform where evidence is shared in an accessible manner for those who need to act on it.",,English,10.1016/j.gfs.2020.100397,Open Access,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7340,2020,Global Food Security,2211-9124,Elsevier,Global Food Security 26(September 2020): 100397,food systems; food security; malnutrition; research; nutrition; sustainable development; coronavirus; coronavirus disease; coronavirinae; climate change; innovation; health; diet; agriculture; research and development; future studies; one cgiar; covid-19,Journal article
A review of types of risks in agriculture: What we know and what we need to know,"Komarek, Adam M.; De Pinto, Alessandro; Smith, Vincent H.","This study examines the scope and depth of research on the five major types of risks in agriculture, and the extent to which those studies have addressed the impacts of, and policies to mitigate individual types of risk as opposed to more holistic analyses of the multiple sources of risk with which farmers have to cope with. Risk is at the center of new paradigms and approaches that inform risk management initiatives and shape investments in many countries. Although the literature includes several substantive reviews of the methods available for risk analysis and their empirical applications have been extensively scrutinized, limited information exists about which types of risks have received sufficient attention, and which have not. This limited information is perplexing because farmers manage multiple risks at the same time and unanticipated events continue to have substantial impacts on farmers. We identify 3283 peer-reviewed studies that address one or more of the five major types of risk in agriculture (production risk, market risk, institutional risk, personal risk, and financial risk) published between 1974 and 2019. We conduct a literature search and then apply an eligibility criteria to retain eligible studies from the search. We then classify those eligible studies based on risk type and geographic focus. We placed no limit on the temporal scale, geographic focus, or study method for inclusion in our search. Results show that 66% of the 3283 studies focused solely on production risk, with only 15% considering more than one type of risk. Only 18 studies considered all five types of risk and those either asked how farmers perceived the importance of each risk or were focused on conceptual issues, rather than assessing how exposure to all the risks quantitatively affects farm indicators such as yields or incomes. Without more detailed analyses of the multiple types of risks faced by farmers, farmers and policymakers will lack the information needed to devise relevant risk management strategies and policies. A shift in research focus towards the analysis of multiple contemporaneous types of risk may provide a basis that gives farmers greater options for coping with and managing risk. We discuss some of the challenges for studying multiple risks simultaneously, including data requirements and the need for probability distributions and the role of simulation approaches.",United States Agency for International Development USAID,English,10.1016/j.agsy.2019.102738,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6929,2020,Agricultural Systems,0308-521X,Elsevier,Agricultural Systems 178(February 2020): 102738,agriculture; risk; farms; households; farmers; reviews; risk management; risk analysis; agricultural production; food prices; climate change; agricultural risk; production risk; climate risk,Journal article
A sequential approach to integrated energy modeling in South Africa,"Arndt, Channing; Davies, Rob; Gabriel, Sherwin; Makrelov, Konstatin; Merven, Bruno; Hartley, Faaiqa; Thurlow, James",,,English,10.1016/j.apenergy.2015.06.053,Open Access,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/5057,2016,Applied Energy,,,In Applied Energy. 161(January 2016): 591-599,climate change; carbon; energy; computable general equilibrium (cge) model; carbon tax; the integrated markal-efom system (times),Journal article
A stochastic simulation approach to estimating the economic impacts of climate change in Bangladesh,"Thurlow, James; Dorosh, Paul A.; Yu, Winston",,,English,10.1111/j.1467-9361.2012.00671.x,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/3651,2012,Review of Development Economics,,,Review of Development Economics 16(3): 412-428,climate change; developing countries; economic development; stochastic; economic impacts,Journal article
