Title,Authors,Author affiliations,Abstract,Funders,Language,DOI,Access rights,Usage rights,Repository link,Publication date,Publication date (Online),Journal,ISSN,Publisher,Volume,Issue,Pages,Subjects,Countries
Collective Action for Common Rangelands Improvement: A Climate Change Adaptation Strategy in Uzbekistan,"Christmann, Stefanie; Aw-Hassan, Aden A.; Rajabov, Toshpulat; Rabbimov, Abdullo",International Center for Agricultural Research in the Dry Areas - ICARDA; UzRI of Karakul Sheep Breeding and Desert Ecology - UzNIIKEP; Samarkand State University - SSU,"Rangeland degradation endangers livelihoods of many rural communities in Uzbekistan. Despite the threat of land deterioration from climate change, there are many reasons that land users do not take action to prevent or reduce land degradation. The described project uses a low-cost approach to mobilize stakeholders and initiate collective action. Based on a social learning process focusing on development of local climate-change scenarios, villagers from Qiziltepa district identified adaptation options and agreed on a common purpose to restore rangelands through collective governance systems. They formed pastoral user groups, established seed isles to ensure seeding of forage shrubs, and agreed on seasonal grazing. This case study shows the critical importance of scenarios in social learning processes for building awareness concerning climate change adaptation; they led to changes in perceptions and agreement on collective action and governance. We compare the potential of this integrated approach with large-scale seeding.",International Center for Agricultural Research in the Dry Areas - ICARDA,en,https://dx.doi.org/10.1080/08941920.2014.933927,Timeless limited access,,https://hdl.handle.net/20.500.11766/8326,2015-12-01,2014-09-03,Society and Natural Resources,0894-1920,Taylor &amp; Francis (Routledge): SSH Titles,28,3,280-295,climate change adaptation; collective rangeland governance; pastoral user group; seed isle; social learning process,UZ
The vulnerability of native rangeland plant species to global climate change in the West Asia and North African regions,"Ouled Belgacem, Azaiez; Louhaichi, Mounir",International Center for Agricultural Research in the Dry Areas - ICARDA,"This study aimed to evaluate the impact of climate change on the geographical
distribution of selected native species from two areas from West Asia and North Africa.
Three species representing two genera were selected for assessment of their vulnerability to
climate change. The first species was Salsola vermiculata L. which is common to both study
areas. The second genus was represented by two species, Haloxylon salicornicum (Moq.)
Bunge from the Syrian rangelands and H. schmittianum Pomel from southern Tunisia. To
assess the vulnerability of these species to climate change we used ecological-based models.
The data inputs were composed of the species occurrence data and the environmental data
which included eight climatic layers, three soil property layers in addition to an altitude
layer. Since environmental parameters only enable assessing the sensitivity of target species
to climate change, a grazing pressure layer was used to assess the species vulnerability. Only
climatic parameters were considered as changing across three periods; current situation,
2020 and 2050. The main results indicated that threatened range species, such as S.
vermiculata which were subjected to continuous grazing pressure, showed high vulnerability
to climate change as expressed by the predicted decrease in the areas of their distribution.
However, species with low palatability and broad ecological niches (i.e. H. salicornicum and
H. schmittianum) had an advantage due to the reduced competition for water and nutrients.
An adaptation strategy to increase the resilience of the most vulnerable species should
involve management of grazing pressure and the establishment of other mitigation measures",International Center for Agricultural Research in the Dry Areas - ICARDA,en,https://dx.doi.org/10.1007/s10584-013-0701-z,Open access,CC-BY-4.0,https://hdl.handle.net/20.500.11766/7188,2013-07-02,2013-01-31,Climatic Change,0165-0009,Springer Verlag (Germany),119,2,451-463,small ruminants; grazing pressure; climatic niche; ongoing climate change; broad ecological niche,SY; TN
Agronomic management options for sustaining chickpea yield under climate change scenario,"Kadiyala, M.D.M.; KumaraCharyulu, Deevi; Nedumaran, Swamikannu; Mosesshyam, Davala; Gumma, Murali Krishna; Bantilan, M.C.S.",International Crops Research Institute for the Semi-Arid Tropics - ICRISAT,"The impact of future climate change on the chickpea productivity was studied using the sequence
analysis tool of DSSAT V 4.5 to simulate fallow-chickpea rotation at four locations viz Anantapur, Kurnool,
Kadapa and Prakasam of Andhra Pradesh State. The results indicated that as compared to baseline
climate, the climate change to be anticipated by 2069 (Mid –century period) would decrease the yield of
chickpea by 4.3 to 18.6 per cent across various locations tested. Yield benefits obtained based on t he
simulation study from various adaptation options revealed that advancing the sowing window by one
fortnight and application of one critical irrigation at 60 DAS found to be beneficial in increasing chickpea
yields under climate change scenario.",CGIAR System Organization - CGIAR,en,https://dx.doi.org/10.54386/jam.v18i1.897,Open access,CC-BY-4.0,https://hdl.handle.net/20.500.11766/6684,2016-06-01,2018-03-01,Journal of Agrometeorology,0972 - 1665,Association of Agrometeorologists,18,1,41-47,climate change; sequence analysis; chickpea; cropgro - chickpea; management options; sowing window,BD; BF; ET; GH; IN; MW; ML; MZ; MM; NG; TZ; UG; VN; ZM; ZW
Towards Climate Change Preparedness in the MENA’s Agricultural Sector,"Govind, Ajit",International Center for Agricultural Research in the Dry Areas - ICARDA,"The Middle East and North Africa (MENA) represents a substantial area of the terrestrial landmass encompassing several countries and ecosystems. This area is generally drier and warmer compared to the rest of the world, and has extreme resource limitations that are highly vulnerable to a changing climate, geopolitical instability and land degradation. This paper will first identify the nature of climate change in the region by analyzing a downscaled climate data and identifying the hotspots of climate change in MENA. It was found that the climate vulnerability is quite high, with the mean annual temperature increasing by as much as 4–6 degrees towards the end of the century. The nature precipitation under climate change is quite speculative, with the Maghreb region showing the highest vulnerability. Based on these results, five action points are postulated that may be implemented to rapidly progress our understanding of climate vulnerability and enhance the climate change preparedness in MENA’s agri-food sector, to take necessary actions to adapt to a changing climate with a systemic resilience perspective. These include working towards: (1) enhancing the sustainability of the rainfed-desert transitional belt (Rangelands) in the MENA; (2) enhancing the sustainability of agri-food systems in the food baskets of MENA and (3) working towards fostering a collective intelligence to support climate change research in the MENA. (4) The need for foresight advice on resilient food systems under climate change and (5) the need for transformative policies for stabilization and reconstruction under climate change.","Arab Fund for Economic and Social Development - AFESD; CGIAR Research Program on Climate Change, Agriculture and Food Security - CCAFS",en,https://dx.doi.org/10.3390/agronomy12020279,Open access,CC-BY-4.0,https://hdl.handle.net/20.500.11766/68236,,2022-01-21,Agronomy,0065-4663,Multidisciplinary Digital Publishing Institute (MDPI),12,2,,climate change; rangelands; resilience; middle east and north africa (mena); irrigated agriculture; rainfed agriculture; agri-food system; collective intelligence,EG
Climate change and resilient dryland systems: experiences of ICRISAT in Asia and Africa,"Jat, Ram A.; Craufurd, Peter; Sahrawat, Kanwar Lal; Wani, Suhas",International Crops Research Institute for the Semi-Arid Tropics - ICRISAT,"The article reviews and summarizes the climate change mitigation and adaptation work undertaken by ICRISAT. The effects of climate
change are already being experienced in several parts of the world. Even though the effects of climate change will be felt over all kinds
of agricultural production systems, they will be more pronounced in dryland areas where agriculture is totally dependent on rainfall.
Simulation output analyses reveal that crop yield will decrease due to climate change and variability in drylands, but this can be
mitigated in large parts by the application of existing knowledge on crop, soil and water management, and by retargeting
and
redeployment of the existing germplasms of the crops in the medium term (2010–2050). Integrated watershed management is an
important tool to mitigate the climate change effects through soil conservation, improved water availability and other secondary
benefits. Similarly, conservation agriculture practices under the integrated genetic and natural resources management strategy can help
minimize the adverse effects of climate change on dryland agricultural productivity.",,en,,Open access,CC-BY-NC-4.0,https://hdl.handle.net/20.500.11766/5682,,2012-06-25,current science,00113891,Indian Academy of Sciences,102 (12),,1650-1659,climate change; drylands; resilience; watershed management,IN
In silico evaluation of plant genetic resources to search for traits for adaptation to climate change,"Bari, Abdallah; Khazaei, Hamid; Stoddard, Frederick L.; Street, Kenneth; Sillanpää, Mikko; Chaubey, Yogendra Prasad; Dayanandan, Selvadurai; Endresen, Dag Terje Filip; De Pauw, Eddy; Damania, Ardeshir B.","International Center for Agricultural Research in the Dry Areas - ICARDA; University of California-Davis - UC Davis; Concordia University; University of Helsinki - UoH; University of Saskatchewan, College of Agriculture and Bioresources, Crop Development Centre - USAK - AGBIO- CDC; University of Oulu; Quebec Centre for Biodiversity Science; University of Oslo, Natural History Museum - UiO - NHM","Plant genetic resources display patterns resulting from ecological and co-evolutionary processes. Such patterns are instrumental in tracing the origin and diversity of crops and locating adaptive traits. With climate change and the anticipated increase in demand for food, new crop varieties will be needed to perform under unprecedented climatic conditions. In the present study, we explored genetic resources patterns to locate traits of adaptation to drought and to maximize the utilization of plant genetic resources lacking ex ante evaluation for emerging climate conditions. This approach is based on the use of mathematical models to predict traits as response variables driven by stochastic ecological and co-evolutionary processes. The high congruence of metrics between model predictions and empirical trait evaluations confirms in silico evaluation as an effective tool to manage large numbers of crop accessions lacking ex ante evaluation. This outcome will assist in developing cultivars adaptable to various climatic conditions and in the ultimate use of genetic resources to sustain agricultural productivity under conditions of climate change.","CGIAR Research Program on Climate Change, Agriculture and Food Security - CCAFS; University of Helsinki - UoH; Australian Grains Genebank - AGG; Natural Sciences and Engineering Research Council - NSERC - CRSNG",en,https://dx.doi.org/10.1007/s10584-015-1541-9,Timeless limited access,,https://hdl.handle.net/20.500.11766/12383,2016-02-01,2015-11-11,Climatic Change,0165-0009,Springer (part of Springer Nature),134,4,667-680,adaptation; climate change; plant genetic resources,
Farmers’ awareness and perception of climate change impacts: case study of Aguie district in Niger,"Ado, Abdou; Leshan, Jin; Savadogo, Patrice; Bo, Li; Shah, Ashfaq",World Agroforestry Center - ICRAF; China Agricultural University - CAU China,"The agricultural sector is the main source of rural households’ food and revenue in Niger, and it contributes approximately 43% to the national GDP. However, there are several constraints to the sector’s development, including negative impacts of climate change. To mitigate these impacts, farmers implement a range of technical strategies. The extent of farmer’s awareness and perceptions of climate change impacts influences these strategies and hence farmers’ level of adaptation. This study was undertaken to assess farmers’ awareness and perceptions of climate change impacts in Aguie Department, Niger Republic. Descriptive statistics and a regression model were used for data analysis. The results from a descriptive analysis show that the majority of respondents (84.4%) were aware of climate risks, but had differing perceptions of climate change impacts on production and annual revenue. A regression test revealed that climate-related information is highly significant in determining farmers’ awareness of climate change impacts. Most of the respondents reported negative impacts from climate change, and the majority, therefore, adjusted their farming system, albeit at different levels. A probit analysis shows that awareness, perception, education, crop production, soil fertility and annual revenue are highly influential on farmers’ climate change impacts adaptation. This research highlights farmer awareness and perceptions as key factors in the climate change impacts adaptation debate. The findings reveal that effective adaptation to climate change impacts is highly dependent on the extent of community awareness and how farmers perceive the impacts of climate change. The study highlights that institutions targeting households’ livelihood improvement and making decisions concerning climate change adaptation need to focus on media outreach in local languages, improving locally adapted extension services, and developing water use efficiency measures such as improved irrigation for effective and long-term adaptation.",International Fund for Agricultural Development - IFAD,en,https://dx.doi.org/10.1007/s10668-018-0173-4,Open access,CC-BY-NC-ND-4.0,https://hdl.handle.net/20.500.11766/11220,,2018-05-23,"Environment, Development and Sustainability",1387-585X,Springer (part of Springer Nature) (Springer Open Choice Hybrid Journals),,,,adaptation; climate change; drylands; impact; perception; awareness,NE
A SWAT modeling approach to assess the impact of climate change on consumptive water use in Lower Chenab Canal area of Indus basin,"Awan, Usman; Liaqat, Umar Waqas; Choi, Minha; Ismail, Ali",International Center for Agricultural Research in the Dry Areas - ICARDA; Hanyang University; Sungkyunkwan University,"Accurate assessment of spatio-temporal variations of consumptive water use (CWU) in large
irrigation schemes is crucial for several hydrological applications. This study is designed to evaluate
the impact of climate change on CWU in the Lower Chenab Canal (LCC) irrigation scheme of the
Indus basin irrigation system of Pakistan. A distributed hydrological model, the soil and water
assessment tool (SWAT), was spatially calibrated (2005–2009) and validated (2010–2012) for monthly
CWU. The estimated CWU using the SWAT model showed promising results (the coefficient of
determination (R2) ¼ 0.87 ± 0.06, Nash–Sutcliffe model efficiency (NSE) ¼ 0.83 ± 0.06)) when
compared with CWU determined by the Surface Energy Balance Algorithm (R2 ¼ 0.87 ± 0.06,
NSE ¼ 0.83 ± 0.06). Future evaluation, performed by considering the representative concentration
pathways (RCP) 4.5 and 8.5 climate change scenarios, showed that changes in temperature and
rainfall would significantly influence the CWU in the LCC scheme. Compared with the reference
period, annual water consumption in the basin would increase overall by 7% and 11% at the end of
2020 with monthly variations of –40% to 60% and –17% to 80% under RCP 4.5 and RCP 8.5 climate
change scenarios, respectively. The water managers in the region have to consider this fluctuating
consumptive use in water allocation plans due to climate change for better management of available
water resources.",International Water Management Institute - IWMI,en,https://dx.doi.org/10.2166/nh.2016.102,Limited access,CC-BY-NC-4.0,https://hdl.handle.net/20.500.11766/5867,,2015-12-31,Hydrology Research,0029-1277,IWA Publishing,48,2,,climate change; climate change adaptation; climate change mitigation; water management,PK
Local and regional climate trends and variabilities in Ethiopia: Implications for climate change adaptations,"Gashaw, Temesgen; Belay Wubaye, Gizachew; Abeyou, Abeyou; Taddele Dile, Yihun; Mohammed, Jemal Ali; Birhan, Dereje Ademe; Tefera, Gebrekidan Worku; van Oel, Pieter R.; Haileslassie, Amare; Chukalla, Abebe Demissie; Teferi Taye, Meron; Bayabil, Haimanote Kebede; Zaitchik, Benjamin; Srinivasan, Raghavan; Senamaw, Abebe; Bantider, Amare; Adgo, Enyew; Seid, Abdulkarim","International Center for Agricultural Research in the Dry Areas - ICARDA; International Water Management Institute - IWMI; University of Florida - UF; Wageningen University & Research Centre - WUR; Texas A&M University - TAMU; Addis Ababa University, Water and Land Resource Center - AAU-WLRC; IHE Delft Institute for Water Education - UNESCO-IHE; Bahir Dar University - BDU; Debre Markos University - DMU; Mekdela Amba University; Johns Hopkins University - JHU; Prairie View A&M University - PVAMU","Ethiopia is experiencing considerable impact of climate change and variability in the last five decades. Analyzing climate trends and variability is essential to develop effective adaptation strategies, particularly for countries vulnerable to climate change. This study analyzed trends and variabilities of climate (rainfall, maximum temperature (Tmax), and minimum temperature (Tmin)) at local and regional scales in Ethiopia. The local analysis was carried out considering each meteorological station, while the regional analyses were based on agroecological zones (AEZs). This study used observations from 47 rainfall and 37 temperature stations obtained from the Ethiopian Meteorological Institute (EMI) for the period of 1986 to 2020. The Modified Mann-Kendall (MMK) trend test and Theil Sen’s slope estimator were used to analyze the trends and magnitudes of change, respectively, in rainfall as well as temperature. The coefficient of variation (CV) and standardized anomaly index (SAI) were also employed to evaluate rainfall and temperature variabilities. The local level analysis revealed that Bega (dry season), Kiremt (main rainy season), and annual rainfall showed increasing trend, albeit no significant, in most stations, but the rainfall in Belg (small rainy) season showed a non-significant decreasing trend. The regional levels analysis also indicated an increasing trend of Bega, Kiremt, and annual rainfall in most AEZs, while Belg rainfall showed a decreasing trend in the greater number of AEZs. The result of both local and regional levels of analysis discerned a spatially and temporally more homogeneous warming trend. Both Tmax and Tmin revealed an increasing trend in annual and seasonal scales at most meteorological stations. Likewise, an increase was recorded for mean Tmax and Tmin in entire/most AEZs. The observed trends and variabilities of rainfall and temperature have several implications for climate change adaptations. For example, the decrease in Belg rainfall in most AEZs would have a negative impact on areas that heavily depend on Belg season’s rainfall for crop production. Some climate adaptation options include identifying short maturing crop varieties, soil moisture conservation, and supplemental irrigation of crops using harvested water during the main rainy season.
Conversely, since the first three months of Bega season (October to December) are crop harvest season in most parts of Ethiopia, the increase in Bega rainfall would increase crop harvest loss, and hence, early planting date and identifying short maturing crops during the main rainy season are some climate adaptation strategies.
Because of the increase in temperature, water demand for irrigation during Bega season will increase due to increased evapotranspiration. On the other hand, the increase in Kiremt rainfall can be harvested and used for supplemental irrigation during Bega as well as the small rainy season, particularly for early planting. In view of these findings, it is imperative to develop and implement effective climate-smart agricultural strategies specific to each agro-ecological zone (AEZ) to adapt to rainfall and temperature changes and variabilities.",International Center for Agricultural Research in the Dry Areas - ICARDA,en,https://dx.doi.org/10.1016/j.envc.2023.100794,Open access,CC-BY-NC-ND-4.0,https://hdl.handle.net/20.500.11766/69096,2023-11-14,2023-11-14,Environmental Challenges,,Elsevier,13,,,climate change adaptation; ethiopia; climate variability; agro-ecological zones; climate trends,
"Smallholder Farmers’ Perceptions on Climate Change and the Use of Sustainable Agricultural Practices in the Chinyanja Triangle, Southern Africa","Makate, Clifton; Makate, Marshall; Mango, Nelson",International Center for Tropical Agriculture - CIAT; University at Albany; Tongji University,"In developing regions with high levels of poverty and a dependence on climate
sensitive agriculture, studies focusing on climate change adaptation, planning, and policy processes,
have gained relative importance over the years. This study assesses the impact of farmer perceptions
regarding climate change on the use of sustainable agricultural practices as an adaptation strategy in
the Chinyanja Triangle, Southern Africa. In this empirical approach, we adopt methods that account
for the plausibility that unmeasured characteristics exist, which are correlated with perceptions
and the adoption of Sustainable Agricultural Practices. We use a unique and representative dataset
collected in December 2012 and June 2013, from smallholder farmers in the Chinyanja Triangle.
The results indicate that farmer’s perceptions significantly influence the use of sustainable agricultural
practices. Specifically, we established that farmer perceptions considerably impact the use of grain
legume rotations, inorganic fertilizers, compost, and farmyard manure. Our results highlight the
need for a serious and perhaps equal consideration of farmer perceptions regarding climate change,
as important inputs to climate change adaptation policies targeted at enhancing climatic resilience
in smallholder farming communities. This is plausible as the adaptation and pliability of farmers
to the effects of climate change should be a social process involving the collective efforts from
various stakeholders.",,en,http://dx.doi.org/10.3390/socsci6010030,Open access,CC-BY-NC-4.0,https://hdl.handle.net/20.500.11766/6591,,2017-03-15,Social Sciences,2076-0760,MDPI,6,30,1-14,climate change adaptation; southern africa; impact; farmer perceptions; sustainable agriculture practices (saps),MW; MZ; ZM
